axis	protein_name	n_cells	spearman	spearman_p	pearson	pearson_p	partial_spearman_adjusted_UMI_MOI	partial_spearman_p	direction_match
immune_evasion_antigen_presentation	HLA_A	195303	0.44965422717569625	0.0	0.418255705086515	0.0	0.4857981822163512	0.0	True
immune_evasion_antigen_presentation	CD274	195303	0.4806332312273338	0.0	0.5034482498135846	0.0	0.48175351880605194	0.0	True
immune_evasion_antigen_presentation	CD58	195303	-0.16785020556864227	0.0	-0.18005332381363048	0.0	-0.19969839169829856	0.0	True
ifn_jak_stat_response	CD119	195303	0.004407979276917974	0.05141261307276129	0.03144293534801593	6.427295190529813e-44	0.022530540167513907	2.3235958883310247e-23	True
ifn_jak_stat_response	CD274	195303	0.437827251303732	0.0	0.41631305583297296	0.0	0.45793825805020205	0.0	True
ifn_jak_stat_response	HLA_A	195303	0.14660394730132295	0.0	0.14925904702496065	0.0	0.19223016770338952	0.0	True
t_cell_interaction_or_cytokine_response	CD274	195303	0.3821862427002148	0.0	0.3702939180036707	0.0	0.40327507822227043	0.0	True
t_cell_interaction_or_cytokine_response	CD58	195303	0.09793682544945959	0.0	0.10817878050099429	0.0	0.12575162818467428	0.0	True
t_cell_interaction_or_cytokine_response	CD47	195303	0.1438105462371181	0.0	0.1719985725492647	0.0	0.19252881861805407	0.0	True
t_cell_interaction_or_cytokine_response	CD59	195303	0.10225776268136892	0.0	0.11460721692572817	0.0	0.12852676193488766	0.0	True
