axis	protein_name	level	n_units	spearman	spearman_p	direction_match_fraction	alignment_pass
immune_evasion_antigen_presentation	HLA_A	target	246	0.5491462507783799	8.866320722124213e-21	0.6829268292682927	True
immune_evasion_antigen_presentation	CD274	target	246	0.4906056349665372	2.6456126509420885e-16	0.6788617886178862	True
immune_evasion_antigen_presentation	CD58	target	246	-0.1452939505020928	0.022646363644557105	0.4634146341463415	False
ifn_jak_stat_response	CD119	target	246	0.0893038009120899	0.16261427579440563	0.5487804878048781	False
ifn_jak_stat_response	CD274	target	246	0.39339530815782414	1.5681318815935392e-10	0.6219512195121951	True
ifn_jak_stat_response	HLA_A	target	246	0.24854914020510935	8.13122668401658e-05	0.5609756097560976	True
t_cell_interaction_or_cytokine_response	CD274	target	246	0.45065585432356015	1.0451233457820427e-13	0.6788617886178862	True
t_cell_interaction_or_cytokine_response	CD58	target	246	-0.000720240698234463	0.9910327645379206	0.45528455284552843	False
t_cell_interaction_or_cytokine_response	CD47	target	246	0.2695759769297271	1.817427507879805e-05	0.556910569105691	True
t_cell_interaction_or_cytokine_response	CD59	target	246	0.08643734772471245	0.17658579233406044	0.4715447154471545	False
