panel	item	description
A_inputs	activity_matrix	cell, pseudobulk or upstream pathway/module activity
A_inputs	metadata	trajectory, time, perturbation, lineage, block or adapter labels
B_score_vs_object	pathway_score	activity and signal only
B_score_vs_object	TED_event_object	effect, event-FDR, block stability, negative-control margin, event mode, claim boundary and interpretation
C_gate_path	G_FDR	event-FDR gate
C_gate_path	G_block	block robustness gate
C_gate_path	G_NC	negative-control gate
C_gate_path	matched_validation	matched rescue/intervention gate
D_biological_claim	supported	block-robust event-loss candidate
D_biological_claim	unsupported	functional causality without rescue/intervention evidence
