panel	dataset_or_axis	metric	value	status	notes
A	GSE271399_erythroid_family	block_permutation_q	0.0008	pass	Primary GSE271399 event-loss family.
A	GSE271399_erythroid_family	direction_stability	1.0	pass	Direction preserved across blocks.
B	erythroid_heme_axis	exceeds_matched_controls	1	pass	TED-defined axis exceeds matched random, mitochondrial, ribosomal and unrelated-lineage controls.
B	regulatory_axis	exceeds_matched_controls	1	pass	TED-defined axis exceeds matched controls.
B	maturation_membrane_axis	exceeds_matched_controls	1	pass	TED-defined axis exceeds matched controls.
C	GSE238115	directional_support	1	pass	Independent GATA1/GATA1s-related dataset supports TED-defined direction.
C	GSE36787	directional_support	1	pass	Independent GATA1/GATA1s-related dataset supports TED-defined direction.
C	GSE62879_GSE14980	directional_support	1	pass	Independent GATA1/GATA1s-related dataset supports TED-defined direction.
C	GSE130156	directional_support	1	pass	Independent GATA1/GATA1s-related dataset supports TED-defined direction.
C	GSE315981	directional_support	1	pass	Independent GATA1/GATA1s-related dataset supports TED-defined direction.
C	GSE298761	directional_support	1	pass	Independent GATA1/GATA1s-related dataset supports TED-defined direction.
C	cross_dataset_panel	independent_dataset_direction_consistency	1.0	pass	Directional support positive across support panel.
D	primary_event_robust	gate	1	pass	Primary event robust.
D	independent_direction_consistency	gate	1	pass	Cross-dataset support added.
D	no_global_negative_control_failure	gate	1	pass	No global negative-control failure.
D	cross_dataset_supported_event	gate	1	pass	Computational boundary strengthened.
D	matched_rescue_design	gate	0	missing	Same-system matched full-length GATA1 rescue absent.
D	same_system_rescue_evidence	gate	0	missing	Same-system rescue evidence absent.
D	functional_causal_rescue_boundary	gate	0	missing	Functional-causal rescue boundary not assigned.
