analysis_stratum	method	n_scenario_replicates	mean_fdp	ci95_low_fdp	ci95_high_fdp	mean_family_wise_false_positive	ci95_low_family_wise_false_positive	ci95_high_family_wise_false_positive	mean_power	ci95_low_power	ci95_high_power	mean_onset_location_mae	ci95_low_onset_location_mae	ci95_high_onset_location_mae	mean_peak_location_mae	ci95_low_peak_location_mae	ci95_high_peak_location_mae	mean_false_e_promotion	ci95_low_false_e_promotion	ci95_high_false_e_promotion	mean_false_e_demotion	ci95_low_false_e_demotion	ci95_high_false_e_demotion	mean_non_e0_call_fraction	ci95_low_non_e0_call_fraction	ci95_high_non_e0_call_fraction	worst_scenario_mean_fdp	worst_scenario_fwer
all_scenarios	naive_selected_window_bh	696	0.3167259108077823	0.2868671427133836	0.3465846789021811	0.4094827586206896	0.3729234671501249	0.4460420500912544	0.5214814814814815	0.4670161098202399	0.5759468531427232	0.3116048206465416	0.3047385784486038	0.3184710628444794	0.2120639855581185	0.2052208139658358	0.2189071571504012	0.2003591954022988	0.1797101812817803	0.2210082095228174	0.054971264367816	0.0473366112244019	0.0626059175112302	0.2386350574712643	0.2152918928839432	0.2619782220585854	1.0	1.0
all_scenarios	per_event_max_window_bh	696	0.0689487743830102	0.0541963303419547	0.0837012184240657	0.1652298850574712	0.1376182950684915	0.192841475046451	0.3330864197530864	0.2817132668178673	0.3844595726883055	0.3134764071981586	0.3046224905431576	0.3223303238531597	0.2069823707888679	0.1997607975272704	0.2142039440504654	0.0181465517241379	0.0136607774004355	0.0226323260478403	0.0765804597701149	0.0680953239451316	0.0850655955950982	0.0436637931034482	0.0362746504220556	0.0510529357848409	1.0	1.0
all_scenarios	family_wide_maxT_fwer	696	0.1172899482353216	0.0971382059159973	0.1374416905546458	0.2083333333333333	0.1781397797257098	0.2385268869409568	0.416141975308642	0.3684900603411075	0.4637938902761765	0.3347824686356328	0.3233960363064045	0.3461689009648611	0.2274117917236202	0.216690088548235	0.2381334948990054	0.0144252873563218	0.0107979314012769	0.0180526433113666	0.0670689655172413	0.059421205684012	0.0747167253504707	0.0501867816091954	0.0434571580468026	0.0569164051715881	1.0	1.0
clean_all	naive_selected_window_bh	372	0.2975603363886096	0.2527825210065305	0.3423381517706887	0.3225806451612903	0.2750124065815475	0.3701488837410331	0.3472222222222222	0.236479974555904	0.4579644698885403	0.317457627118644	0.2954309306858902	0.3394843235513978	0.1938418079096045	0.1725914633659992	0.2150921524532098	0.194516129032258	0.1633661555799606	0.2256661024845555	0.0306451612903225	0.0224434573156191	0.0388468652650259	0.2092741935483871	0.1763745257344816	0.2421738613622926	0.95	1.0
clean_all	per_event_max_window_bh	372	0.0300019201228878	0.0133424371317142	0.0466614031140615	0.0403225806451612	0.0203052614599405	0.060339899830382	0.1666666666666666	0.079978334235735	0.2533549990975983	0.3135593220338983	0.280263567882322	0.3468550761854746	0.2062146892655367	0.1837157411925336	0.2287136373385398	0.0033602150537634	0.001433966687385	0.0052864634201418	0.0393548387096774	0.0302205808030728	0.048489096616282	0.0114247311827957	0.0060470642223966	0.0168023981431947	0.1	0.4166666666666667
clean_all	family_wide_maxT_fwer	372	0.0710125448028673	0.0450507823761685	0.0969743072295661	0.075268817204301	0.0484225187729342	0.1021151156356679	0.375	0.2796187572732814	0.4703812427267185	0.3405022089121108	0.3128226494971723	0.3681817683270493	0.2146244849411664	0.1891308040217485	0.2401181658605843	0.0040860215053763	0.0024328054586798	0.0057392375520728	0.0294623655913978	0.0218924090727363	0.0370323221100594	0.0213709677419354	0.0153176744534964	0.0274242610303745	0.1666666666666666	0.1666666666666666
clean_null	naive_selected_window_bh	300	0.3166666666666666	0.2639390725393024	0.3693942607940308	0.3166666666666666	0.2639390725393024	0.3693942607940308										0.2019999999999999	0.1657199413702154	0.2382800586297845	0.0	0.0	0.0	0.2019999999999999	0.1657199413702154	0.2382800586297845	0.95	0.95
clean_null	per_event_max_window_bh	300	0.0333333333333333	0.0129864347021087	0.0536802319645578	0.0333333333333333	0.0129864347021087	0.0536802319645578										0.0028333333333333	0.0008152872495473	0.0048513794171193	0.0	0.0	0.0	0.0028333333333333	0.0008152872495473	0.0048513794171193	0.1	0.1
clean_null	family_wide_maxT_fwer	300	0.08	0.0492489900103327	0.1107510099896672	0.08	0.0492489900103327	0.1107510099896672										0.0035666666666666	0.0018590856494059	0.0052742476839273	0.0	0.0	0.0	0.0035666666666666	0.0018590856494059	0.0052742476839273	0.13	0.13
clean_signal	naive_selected_window_bh	72	0.2179506268967053	0.1477901530853679	0.2881111007080427	0.3472222222222222	0.236479974555904	0.4579644698885403	0.3472222222222222	0.236479974555904	0.4579644698885403	0.317457627118644	0.2954309306858902	0.3394843235513978	0.1938418079096045	0.1725914633659992	0.2150921524532098	0.1633333333333333	0.108241551044653	0.2184251156220136	0.1583333333333333	0.1314599502797445	0.1852067163869221	0.2395833333333333	0.1617099565413317	0.3174567101253349	0.6246558452440806	1.0
clean_signal	per_event_max_window_bh	72	0.0161210317460317	0.0014381911337266	0.0308038723583368	0.0694444444444444	0.0103132292650672	0.1285756596238216	0.1666666666666666	0.079978334235735	0.2533549990975983	0.3135593220338983	0.280263567882322	0.3468550761854746	0.2062146892655367	0.1837157411925336	0.2287136373385398	0.0055555555555555	0.0002273759903851	0.0108837351207259	0.2033333333333333	0.1821558155055553	0.2245108511611113	0.0472222222222222	0.0222559155930581	0.0721885288513863	0.0967261904761904	0.4166666666666667
clean_signal	family_wide_maxT_fwer	72	0.0335648148148148	0.0	0.0724217205683818	0.0555555555555555	0.0022737599038516	0.1088373512072594	0.375	0.2796187572732814	0.4703812427267185	0.3405022089121108	0.3128226494971723	0.3681817683270493	0.2146244849411664	0.1891308040217485	0.2401181658605843	0.00625	0.0015266789918688	0.0109733210081311	0.1522222222222222	0.1290706842085643	0.17537376023588	0.0955555555555555	0.0717047960151229	0.1194063150959882	0.1666666666666666	0.1666666666666666
artifact_stress	naive_selected_window_bh	324	0.338730829585351	0.3004437162302953	0.3770179429404067	0.5092592592592593	0.4547399513288583	0.5637785671896604	0.5712698412698413	0.5100634557849852	0.6324762267546973	0.3105887084118016	0.3034697878420595	0.3177076289815436	0.2152275580665411	0.2081854067421018	0.2222697093909804	0.2070679012345679	0.1807966334025605	0.2333391690665753	0.0829012345679012	0.0701204914665316	0.0956819776692707	0.2723456790123457	0.2396970996037931	0.3049942584208982	1.0	1.0
artifact_stress	per_event_max_window_bh	324	0.1136655329779655	0.0892638838315308	0.1380671821244001	0.3086419753086419	0.2582648003978585	0.3590191502194254	0.3806349206349206	0.3206052458785138	0.4406645953913275	0.3134660428436911	0.304339978908081	0.3225921067793011	0.2070783309792843	0.1994134115215706	0.2147432504369981	0.0351234567901234	0.0260845660622471	0.0441623475179997	0.1193209876543209	0.1058263763455622	0.1328155989630797	0.080679012345679	0.0671238758348186	0.0942341488565393	1.0	1.0
artifact_stress	family_wide_maxT_fwer	324	0.1704232632873987	0.1400038343282032	0.2008426922465942	0.3611111111111111	0.3087284082452735	0.4134938139769487	0.4278968253968254	0.3730136925945292	0.4827799581991215	0.3333711041518266	0.320888396968833	0.3458538113348201	0.2305671011894205	0.2187827656226193	0.2423514367562217	0.0262962962962962	0.0189425844344654	0.0336500081581271	0.1102469135802469	0.0978660447383738	0.1226277824221199	0.0832716049382716	0.0715819543301385	0.0949612555464046	1.0	1.0
