scenario	n_blocks	n_replicates	target_q	n_true_events	n_confounded_nulls	raw_event_power	gated_event_power	false_demotion_rate_all_true	false_demotion_rate_given_raw_detection	gated_false_promotion_rate
donor_batch_time_confounding	2	500	0.05	12	12	0.3046666666666666	0.1958333333333333	0.1088333333333333	0.3331238095238095	0.0001666666666666
donor_batch_time_confounding	3	500	0.05	12	12	0.3096666666666667	0.2475	0.0621666666666666	0.1840809523809523	0.0001666666666666
donor_batch_time_confounding	5	500	0.05	12	12	0.3051666666666666	0.277	0.0281666666666666	0.0809095238095238	0.0005
donor_batch_time_confounding	10	500	0.05	12	12	0.298	0.293	0.005	0.0140769841269841	0.0010833333333333
condition_dependent_library_size	2	500	0.05	12	12	0.31	0.2923333333333334	0.0176666666666666	0.0552928571428571	0.0006666666666666
condition_dependent_library_size	3	500	0.05	12	12	0.3005	0.2936666666666667	0.0068333333333333	0.0214801587301587	0.0010416666666666
condition_dependent_library_size	5	500	0.05	12	12	0.2976666666666666	0.2958333333333333	0.0018333333333333	0.0046380952380952	0.0018749999999999
condition_dependent_library_size	10	500	0.05	12	12	0.296	0.2953333333333334	0.0006666666666666	0.0015190476190476	0.0026666666666666
cell_cycle_enrichment	2	500	0.05	12	12	0.2851666666666666	0.2773333333333333	0.0078333333333333	0.0282984126984126	0.0009999999999999
cell_cycle_enrichment	3	500	0.05	12	12	0.2845	0.2828333333333333	0.0016666666666666	0.0061023809523809	0.0014583333333333
cell_cycle_enrichment	5	500	0.05	12	12	0.2876666666666666	0.2871666666666666	0.0005	0.0017857142857142	0.00225
cell_cycle_enrichment	10	500	0.05	12	12	0.2773333333333334	0.2773333333333334	0.0	0.0	0.0025833333333333
stress_response_spike_in	2	500	0.05	12	12	0.3138333333333333	0.2065	0.1073333333333333	0.3194134920634921	0.000125
stress_response_spike_in	3	500	0.05	12	12	0.2898333333333334	0.2323333333333333	0.0575	0.1873603174603174	0.000125
stress_response_spike_in	5	500	0.05	12	12	0.289	0.2635	0.0255	0.0799269841269841	0.0004583333333333
stress_response_spike_in	10	500	0.05	12	12	0.2971666666666667	0.2913333333333333	0.0058333333333333	0.0189103174603174	0.0014166666666666
lineage_frequency_shift	2	500	0.05	12	12	0.3063333333333333	0.259	0.0473333333333333	0.1391071428571428	0.000375
lineage_frequency_shift	3	500	0.05	12	12	0.2946666666666666	0.2726666666666666	0.022	0.0696753968253968	0.0003333333333333
lineage_frequency_shift	5	500	0.05	12	12	0.2868333333333334	0.2806666666666666	0.0061666666666666	0.0209309523809523	0.000875
lineage_frequency_shift	10	500	0.05	12	12	0.2848333333333334	0.2828333333333334	0.0019999999999999	0.0071023809523809	0.001375
composition_only_change	2	500	0.05	12	12	0.3148333333333333	0.1173333333333333	0.1975	0.5769308802308801	4.1666666666666665e-05
composition_only_change	3	500	0.05	12	12	0.2836666666666667	0.1651666666666666	0.1185	0.3750833333333334	0.0
composition_only_change	5	500	0.05	12	12	0.2946666666666666	0.2276666666666666	0.067	0.205331746031746	0.000125
composition_only_change	10	500	0.05	12	12	0.2913333333333334	0.2715	0.0198333333333333	0.0627579365079365	0.0004999999999999
rare_state_depletion	2	500	0.05	12	12	0.3063333333333333	0.2035	0.1028333333333333	0.2968230158730159	0.000125
rare_state_depletion	3	500	0.05	12	12	0.2943333333333334	0.2383333333333333	0.056	0.1834388888888888	0.00025
rare_state_depletion	5	500	0.05	12	12	0.2971666666666667	0.2723333333333333	0.0248333333333333	0.0772507936507936	0.00025
rare_state_depletion	10	500	0.05	12	12	0.2861666666666666	0.2808333333333333	0.0053333333333333	0.0201357142857142	0.0009583333333333
missing_intermediate_timepoints	2	500	0.05	12	12	0.2893333333333333	0.2845	0.0048333333333333	0.0144444444444444	0.0017083333333333
missing_intermediate_timepoints	3	500	0.05	12	12	0.2856666666666666	0.284	0.0016666666666666	0.0039380952380952	0.0019166666666666
missing_intermediate_timepoints	5	500	0.05	12	12	0.2913333333333333	0.291	0.0003333333333333	0.0009	0.0030833333333333
missing_intermediate_timepoints	10	500	0.05	12	12	0.285	0.285	0.0	0.0	0.0030416666666666
pseudotime_reversal	2	500	0.05	12	12	0.3063333333333333	0.2388333333333333	0.0675	0.2033126984126984	0.0004166666666666
pseudotime_reversal	3	500	0.05	12	12	0.2895	0.2534999999999999	0.036	0.1164865079365079	0.0003333333333333
pseudotime_reversal	5	500	0.05	12	12	0.2903333333333334	0.278	0.0123333333333333	0.0393587301587301	0.0007083333333333
pseudotime_reversal	10	500	0.05	12	12	0.2893333333333334	0.2858333333333333	0.0034999999999999	0.0110166666666666	0.0015416666666666
matched_state_overlap_decline	2	500	0.05	12	12	0.3011666666666667	0.2685	0.0326666666666666	0.0975928571428571	0.000375
matched_state_overlap_decline	3	500	0.05	12	12	0.2938333333333333	0.2776666666666667	0.0161666666666666	0.0513420634920634	0.0009583333333333
matched_state_overlap_decline	5	500	0.05	12	12	0.2915	0.288	0.0035	0.0147571428571428	0.0015833333333333
matched_state_overlap_decline	10	500	0.05	12	12	0.2778333333333334	0.2773333333333334	0.0005	0.0011666666666666	0.0022916666666666
