target_q	n_pathways	pathway_overlap_rho	n_replicates	empirical_fdp	empirical_fdp_ci95_low	empirical_fdp_ci95_high	power	power_ci95_low	power_ci95_high	relative_tolerance	calibration_upper_limit	calibration_pass
0.01	20	0.0	10000	0.0084866666666666	0.00696007048787	0.0100132628454632	0.1516	0.1476679417783321	0.1555320582216678	0.5	0.015	True
0.05	20	0.0	5000	0.0371566666666666	0.0335338795820439	0.0407794537512893	0.32945	0.3217939251022624	0.3371060748977376	0.5	0.075	True
0.1	20	0.0	500	0.0772333333333333	0.0613074218786772	0.0931592447879894	0.4425	0.4173258287565292	0.4676741712434707	0.5	0.15	True
0.2	20	0.0	500	0.1740484126984126	0.1548829039959792	0.1932139214008461	0.595	0.5700707148414352	0.6199292851585647	0.5	0.3	True
0.01	20	0.35	10000	0.0088757142857142	0.0073538046969171	0.0103976238745113	0.16375	0.1586812063548708	0.1688187936451291	0.5	0.015	True
0.05	20	0.35	5000	0.0382820418470418	0.0341550646776079	0.0424090190164757	0.33025	0.320753768175546	0.3397462318244539	0.5	0.075	True
0.1	20	0.35	500	0.0650746031746031	0.0503500309108117	0.0797991754383946	0.439	0.4064610944629803	0.4715389055370197	0.5	0.15	True
0.2	20	0.35	500	0.1683403873903873	0.1456755241309984	0.1910052506497763	0.5665	0.5341480995964775	0.5988519004035225	0.5	0.3	True
0.01	20	0.7	10000	0.0072868542568542	0.0058091030117464	0.0087646055019621	0.17175	0.1655473059360174	0.1779526940639826	0.5	0.015	True
0.05	20	0.7	5000	0.0316986818736818	0.0277864769274857	0.0356108868198779	0.3476	0.3362528777430794	0.3589471222569206	0.5	0.075	True
0.1	20	0.7	500	0.0578616161616161	0.0420033742223525	0.0737198581008797	0.4345	0.397498944509449	0.4715010554905509	0.5	0.15	True
0.2	20	0.7	500	0.1139255078255078	0.0924957114971409	0.1353553041538747	0.5705	0.532923953191061	0.608076046808939	0.5	0.3	True
0.01	50	0.0	10000	0.0075173809523809	0.0062589884598195	0.0087757734449423	0.12337	0.1208006379843601	0.1259393620156398	0.5	0.015	True
0.05	50	0.0	5000	0.0388151731601731	0.0358595816340104	0.0417707646863358	0.2884	0.2831173942598864	0.2936826057401135	0.5	0.075	True
0.1	50	0.0	500	0.0866132034632034	0.0752315433112318	0.097994863615175	0.4258	0.4074466026812942	0.4441533973187058	0.5	0.15	True
0.2	50	0.0	500	0.1530589133089133	0.1408265432491699	0.1652912833686566	0.574	0.5562068240321733	0.5917931759678267	0.5	0.3	True
0.01	50	0.35	10000	0.0072649639249639	0.0059246786771361	0.0086052491727916	0.14181	0.1375723368344883	0.1460476631655116	0.5	0.015	True
0.05	50	0.35	5000	0.0362424958374958	0.032764668419014	0.0397203232559775	0.30858	0.3000990590899773	0.3170609409100227	0.5	0.075	True
0.1	50	0.35	500	0.0835943492180334	0.0682245321614297	0.0989641662746371	0.4117999999999999	0.3825778465588951	0.4410221534411047	0.5	0.15	True
0.2	50	0.35	500	0.1657488225740547	0.1487785929012198	0.1827190522468897	0.5596	0.5310862801316724	0.5881137198683276	0.5	0.3	True
0.01	50	0.7	10000	0.0080870471685177	0.0065640421018329	0.0096100522352026	0.15819	0.1523486144602563	0.1640313855397436	0.5	0.015	True
0.05	50	0.7	5000	0.0357820872843473	0.0318699135866488	0.0396942609820458	0.3141	0.3032095209615216	0.3249904790384784	0.5	0.075	True
0.1	50	0.7	500	0.0776589932771047	0.0604463899870484	0.0948715965671609	0.4483999999999999	0.4114423836561441	0.4853576163438557	0.5	0.15	True
0.2	50	0.7	500	0.1237561971225876	0.1049436878920932	0.142568706353082	0.5372	0.4998035081361976	0.5745964918638025	0.5	0.3	True
0.01	100	0.0	10000	0.0084681818181818	0.0072841935890559	0.0096521700473076	0.103515	0.1016836563187834	0.1053463436812165	0.5	0.015	True
0.05	100	0.0	5000	0.0403352101166807	0.0379468375983738	0.0427235826349875	0.27432	0.270338192128239	0.2783018078717609	0.5	0.075	True
0.1	100	0.0	500	0.0714101602989374	0.0639744364421861	0.0788458841556886	0.4006	0.3881946710474554	0.4130053289525446	0.5	0.15	True
0.2	100	0.0	500	0.1555340869584193	0.1461418973132419	0.1649262766035967	0.5512	0.5382158484074948	0.5641841515925052	0.5	0.3	True
0.01	100	0.35	10000	0.0082694120318965	0.0069724681406239	0.0095663559231691	0.11405	0.1111391325329824	0.1169608674670175	0.5	0.015	True
0.05	100	0.35	5000	0.0418897750728952	0.0388229587329766	0.0449565914128138	0.27246	0.2661488050653629	0.278771194934637	0.5	0.075	True
0.1	100	0.35	500	0.0722837683008426	0.0631690736461767	0.0813984629555084	0.4028	0.3808764954485915	0.4247235045514085	0.5	0.15	True
0.2	100	0.35	500	0.154458888440645	0.1426584449011786	0.1662593319801114	0.5467000000000001	0.5242007909746692	0.5691992090253309	0.5	0.3	True
0.01	100	0.7	10000	0.007108435521307	0.0057873798563183	0.0084294911862957	0.127095	0.1231092665669596	0.1310807334330404	0.5	0.015	True
0.05	100	0.7	5000	0.0342725428889916	0.0310375802470525	0.0375075055309307	0.28226	0.2741801255894125	0.2903398744105875	0.5	0.075	True
0.1	100	0.7	500	0.081979393936424	0.0655489814963559	0.098409806376492	0.3858999999999999	0.3581084378838159	0.4136915621161839	0.5	0.15	True
0.2	100	0.7	500	0.1359159663121302	0.1207329496525518	0.1510989829717085	0.566	0.5371966733161582	0.5948033266838417	0.5	0.3	True
