scoring_method	trajectory_input	n_truth_types	median_curve_spearman	event_family_overlap	event_mode_agreement	direction_concordance	evidence_tier_agreement	false_escalation	number_downgraded_events	median_runtime_seconds
decoupler_ulm_bridge	scanpy_dpt	6	0.6360507842851943	0.75	0.5	0.3333333333333333	0.0	0.5	0	0.0106797000044025
decoupler_ulm_bridge	true_time	6	0.781852132812044	0.75	0.5	1.0	0.0	0.5	0	0.0107131500262767
gsva_bridge	scanpy_dpt	6	0.6360507842851943	0.75	0.5	0.3333333333333333	0.0	0.5	0	0.010573600011412
gsva_bridge	true_time	6	0.7800665227285989	0.75	0.5	1.0	0.0	0.5	0	0.0102708500344306
mean_zscore	noisy_time	6	0.7493026784151251	0.75	0.5	0.8333333333333334	0.0	0.5	0	0.0104828000185079
mean_zscore	true_time	6	0.7800665227285989	0.75	0.5	1.0	0.0	0.5	0	0.0106254499987699
pyfgsea_rolling	noisy_time	6	0.8571614269809031	0.8333333333333334	0.6666666666666666	0.8333333333333334	1.0	0.1666666666666666	1	0.087753799976781
pyfgsea_rolling	scanpy_dpt	6	0.7357931876920312	0.5	0.5	0.6666666666666666	0.8333333333333334	0.3333333333333333	4	0.0786990500055253
pyfgsea_rolling	true_time	6	1.0	1.0	1.0	1.0	1.0	0.0	0	0.0775359999970533
rank_auc	scanpy_dpt	6	0.6553927959578305	0.75	0.3333333333333333	0.1666666666666666	0.0	0.5	0	0.0313358499552123
rank_auc	true_time	6	0.7616443951683491	0.75	0.6666666666666666	1.0	0.0	0.5	0	0.0324820000096224
ssgsea_bridge	scanpy_dpt	6	0.4830285174500267	0.75	0.5	0.5	0.0	0.5	0	0.0426797999534755
ssgsea_bridge	true_time	6	0.7489057684765011	0.75	0.5	0.8333333333333334	0.0	0.5	0	0.0441884499741718
