trajectory	contrast	pathway	day	delta_auc_day	direction_day	main_direction	direction_consistent	n_cells_case	n_cells_reference
erythroid	Euploid_GATA1s_vs_Euploid_wtGATA1	ERYTHROID_MATURATION	D7	0.0770456194877624	positive	negative	False	5791	9269
erythroid	Euploid_GATA1s_vs_Euploid_wtGATA1	ERYTHROID_MATURATION	D9	-0.3625452220439911	negative	negative	True	6469	6670
erythroid	Euploid_GATA1s_vs_Euploid_wtGATA1	ERYTHROID_MATURATION	D11	-0.9585488438606262	negative	negative	True	4154	10868
erythroid	Euploid_GATA1s_vs_Euploid_wtGATA1	GATA_KLF_TAL1_REGULON	D7	0.2277606278657913	positive	negative	False	5791	9269
erythroid	Euploid_GATA1s_vs_Euploid_wtGATA1	GATA_KLF_TAL1_REGULON	D9	-0.5179225206375122	negative	negative	True	6469	6670
erythroid	Euploid_GATA1s_vs_Euploid_wtGATA1	GATA_KLF_TAL1_REGULON	D11	-0.602851390838623	negative	negative	True	4154	10868
erythroid	Euploid_GATA1s_vs_Euploid_wtGATA1	HALLMARK_HEME_METABOLISM	D7	0.166337177157402	positive	negative	False	5791	9269
erythroid	Euploid_GATA1s_vs_Euploid_wtGATA1	HALLMARK_HEME_METABOLISM	D9	-0.3954370319843292	negative	negative	True	6469	6670
erythroid	Euploid_GATA1s_vs_Euploid_wtGATA1	HALLMARK_HEME_METABOLISM	D11	-0.2733983397483825	negative	negative	True	4154	10868
erythroid	Euploid_GATA1s_vs_Euploid_wtGATA1	HALLMARK_MYC_TARGETS_V2	D7	0.2817895114421844	positive	positive	True	5791	9269
erythroid	Euploid_GATA1s_vs_Euploid_wtGATA1	HALLMARK_MYC_TARGETS_V2	D9	0.0201014932245016	positive	positive	True	6469	6670
erythroid	Euploid_GATA1s_vs_Euploid_wtGATA1	HALLMARK_MYC_TARGETS_V2	D11	0.1965555846691131	positive	positive	True	4154	10868
erythroid	Euploid_GATA1s_vs_Euploid_wtGATA1	HEME_GLOBIN	D7	0.0097169578075408	positive	negative	False	5791	9269
erythroid	Euploid_GATA1s_vs_Euploid_wtGATA1	HEME_GLOBIN	D9	-0.4339185357093811	negative	negative	True	6469	6670
erythroid	Euploid_GATA1s_vs_Euploid_wtGATA1	HEME_GLOBIN	D11	-0.9585696458816528	negative	negative	True	4154	10868
erythroid	Euploid_GATA1s_vs_Euploid_wtGATA1	HSPC_STEMNESS	D7	0.3134288191795349	positive	positive	True	5791	9269
erythroid	Euploid_GATA1s_vs_Euploid_wtGATA1	HSPC_STEMNESS	D9	0.1343246102333068	positive	positive	True	6469	6670
erythroid	Euploid_GATA1s_vs_Euploid_wtGATA1	HSPC_STEMNESS	D11	0.245365560054779	positive	positive	True	4154	10868
erythroid	Euploid_GATA1s_vs_Euploid_wtGATA1	IRON_TRANSPORT	D7	0.0806083008646965	positive	negative	False	5791	9269
erythroid	Euploid_GATA1s_vs_Euploid_wtGATA1	IRON_TRANSPORT	D9	-0.3861163854598999	negative	negative	True	6469	6670
erythroid	Euploid_GATA1s_vs_Euploid_wtGATA1	IRON_TRANSPORT	D11	-0.6101815700531006	negative	negative	True	4154	10868
erythroid	Euploid_GATA1s_vs_Euploid_wtGATA1	MYELOID_PRIMING	D7	0.3038813471794128	positive	positive	True	5791	9269
erythroid	Euploid_GATA1s_vs_Euploid_wtGATA1	MYELOID_PRIMING	D9	0.013506107032299	positive	positive	True	6469	6670
erythroid	Euploid_GATA1s_vs_Euploid_wtGATA1	MYELOID_PRIMING	D11	0.4999745190143585	positive	positive	True	4154	10868
erythroid	T21_GATA1s_vs_T21_wtGATA1	CELL_CYCLE_E2F_G2M	D7	-0.3496690988540649	negative	negative	True	10768	8321
erythroid	T21_GATA1s_vs_T21_wtGATA1	CELL_CYCLE_E2F_G2M	D9	-0.5879240036010742	negative	negative	True	10620	9051
erythroid	T21_GATA1s_vs_T21_wtGATA1	CELL_CYCLE_E2F_G2M	D11	-0.0891873240470886	negative	negative	True	7316	8380
erythroid	T21_GATA1s_vs_T21_wtGATA1	CELL_CYCLE_EXIT	D7	-0.2345725297927856	negative	negative	True	10768	8321
erythroid	T21_GATA1s_vs_T21_wtGATA1	CELL_CYCLE_EXIT	D9	-0.1804348677396774	negative	negative	True	10620	9051
erythroid	T21_GATA1s_vs_T21_wtGATA1	CELL_CYCLE_EXIT	D11	0.0130096897482872	positive	negative	False	7316	8380
erythroid	T21_GATA1s_vs_T21_wtGATA1	ERYTHROID_MATURATION	D7	-0.2117838710546493	negative	negative	True	10768	8321
erythroid	T21_GATA1s_vs_T21_wtGATA1	ERYTHROID_MATURATION	D9	-0.2742961049079895	negative	negative	True	10620	9051
erythroid	T21_GATA1s_vs_T21_wtGATA1	ERYTHROID_MATURATION	D11	-0.4834176898002624	negative	negative	True	7316	8380
erythroid	T21_GATA1s_vs_T21_wtGATA1	GATA_KLF_TAL1_REGULON	D7	-0.2816326022148132	negative	negative	True	10768	8321
erythroid	T21_GATA1s_vs_T21_wtGATA1	GATA_KLF_TAL1_REGULON	D9	-0.3633164465427398	negative	negative	True	10620	9051
erythroid	T21_GATA1s_vs_T21_wtGATA1	GATA_KLF_TAL1_REGULON	D11	-0.3385611176490783	negative	negative	True	7316	8380
erythroid	T21_GATA1s_vs_T21_wtGATA1	HALLMARK_E2F_TARGETS	D7	-0.3495159745216369	negative	negative	True	10768	8321
erythroid	T21_GATA1s_vs_T21_wtGATA1	HALLMARK_E2F_TARGETS	D9	-0.4961126744747162	negative	negative	True	10620	9051
erythroid	T21_GATA1s_vs_T21_wtGATA1	HALLMARK_E2F_TARGETS	D11	-0.1624033004045486	negative	negative	True	7316	8380
erythroid	T21_GATA1s_vs_T21_wtGATA1	HALLMARK_HEME_METABOLISM	D7	-0.2849456071853637	negative	negative	True	10768	8321
erythroid	T21_GATA1s_vs_T21_wtGATA1	HALLMARK_HEME_METABOLISM	D9	-0.2854829728603363	negative	negative	True	10620	9051
erythroid	T21_GATA1s_vs_T21_wtGATA1	HALLMARK_HEME_METABOLISM	D11	-0.2229848206043243	negative	negative	True	7316	8380
erythroid	T21_GATA1s_vs_T21_wtGATA1	HALLMARK_INFLAMMATORY_RESPONSE	D7	-0.1337046325206756	negative	negative	True	10768	8321
erythroid	T21_GATA1s_vs_T21_wtGATA1	HALLMARK_INFLAMMATORY_RESPONSE	D9	-0.103868767619133	negative	negative	True	10620	9051
erythroid	T21_GATA1s_vs_T21_wtGATA1	HALLMARK_INFLAMMATORY_RESPONSE	D11	-0.0113917961716651	negative	negative	True	7316	8380
erythroid	T21_GATA1s_vs_T21_wtGATA1	HALLMARK_INTERFERON_GAMMA_RESPONSE	D7	-0.1460213512182235	negative	negative	True	10768	8321
erythroid	T21_GATA1s_vs_T21_wtGATA1	HALLMARK_INTERFERON_GAMMA_RESPONSE	D9	-0.1309828907251358	negative	negative	True	10620	9051
erythroid	T21_GATA1s_vs_T21_wtGATA1	HALLMARK_INTERFERON_GAMMA_RESPONSE	D11	0.0158851481974124	positive	negative	False	7316	8380
erythroid	T21_GATA1s_vs_T21_wtGATA1	HALLMARK_MYC_TARGETS_V1	D7	-0.5790486931800842	negative	negative	True	10768	8321
erythroid	T21_GATA1s_vs_T21_wtGATA1	HALLMARK_MYC_TARGETS_V1	D9	-0.7267767190933228	negative	negative	True	10620	9051
erythroid	T21_GATA1s_vs_T21_wtGATA1	HALLMARK_MYC_TARGETS_V1	D11	-0.3265897929668426	negative	negative	True	7316	8380
erythroid	T21_GATA1s_vs_T21_wtGATA1	HALLMARK_MYC_TARGETS_V2	D7	-0.4294970333576202	negative	negative	True	10768	8321
erythroid	T21_GATA1s_vs_T21_wtGATA1	HALLMARK_MYC_TARGETS_V2	D9	-0.5160235166549683	negative	negative	True	10620	9051
erythroid	T21_GATA1s_vs_T21_wtGATA1	HALLMARK_MYC_TARGETS_V2	D11	-0.2991459369659424	negative	negative	True	7316	8380
erythroid	T21_GATA1s_vs_T21_wtGATA1	HEME_GLOBIN	D7	-0.2871126234531402	negative	negative	True	10768	8321
erythroid	T21_GATA1s_vs_T21_wtGATA1	HEME_GLOBIN	D9	-0.346959501504898	negative	negative	True	10620	9051
erythroid	T21_GATA1s_vs_T21_wtGATA1	HEME_GLOBIN	D11	-0.5536012053489685	negative	negative	True	7316	8380
erythroid	T21_GATA1s_vs_T21_wtGATA1	IRON_TRANSPORT	D7	-0.3330036997795105	negative	negative	True	10768	8321
erythroid	T21_GATA1s_vs_T21_wtGATA1	IRON_TRANSPORT	D9	-0.3062662482261657	negative	negative	True	10620	9051
erythroid	T21_GATA1s_vs_T21_wtGATA1	IRON_TRANSPORT	D11	-0.3911912143230438	negative	negative	True	7316	8380
erythroid	T21_GATA1s_vs_T21_wtGATA1	MEGAKARYOCYTE_MATURATION	D7	-0.1886332929134369	negative	negative	True	10768	8321
erythroid	T21_GATA1s_vs_T21_wtGATA1	MEGAKARYOCYTE_MATURATION	D9	-0.3749192655086517	negative	negative	True	10620	9051
erythroid	T21_GATA1s_vs_T21_wtGATA1	MEGAKARYOCYTE_MATURATION	D11	-0.0256973057985305	negative	negative	True	7316	8380
erythroid	T21_GATA1s_vs_T21_wtGATA1	MYELOID_PRIMING	D7	-0.1378168165683746	negative	negative	True	10768	8321
erythroid	T21_GATA1s_vs_T21_wtGATA1	MYELOID_PRIMING	D9	-0.1357479691505432	negative	negative	True	10620	9051
erythroid	T21_GATA1s_vs_T21_wtGATA1	MYELOID_PRIMING	D11	0.0254985857754945	positive	negative	False	7316	8380
erythroid	T21_GATA1s_vs_T21_wtGATA1	RIBOSOME_TRANSLATION	D7	-0.9512280821800232	negative	negative	True	10768	8321
erythroid	T21_GATA1s_vs_T21_wtGATA1	RIBOSOME_TRANSLATION	D9	-1.2338387966156006	negative	negative	True	10620	9051
erythroid	T21_GATA1s_vs_T21_wtGATA1	RIBOSOME_TRANSLATION	D11	-0.5012367963790894	negative	negative	True	7316	8380
erythroid	T21_wtGATA1_vs_Euploid_wtGATA1	CELL_CYCLE_E2F_G2M	D7	0.5766133069992065	positive	positive	True	8321	9269
erythroid	T21_wtGATA1_vs_Euploid_wtGATA1	CELL_CYCLE_E2F_G2M	D9	0.1091668605804443	positive	positive	True	9051	6670
erythroid	T21_wtGATA1_vs_Euploid_wtGATA1	CELL_CYCLE_E2F_G2M	D11	0.2287367731332779	positive	positive	True	8380	10868
erythroid	T21_wtGATA1_vs_Euploid_wtGATA1	HALLMARK_E2F_TARGETS	D7	0.5232880711555481	positive	positive	True	8321	9269
erythroid	T21_wtGATA1_vs_Euploid_wtGATA1	HALLMARK_E2F_TARGETS	D9	0.0864319503307342	positive	positive	True	9051	6670
erythroid	T21_wtGATA1_vs_Euploid_wtGATA1	HALLMARK_E2F_TARGETS	D11	0.2310003191232681	positive	positive	True	8380	10868
erythroid	T21_wtGATA1_vs_Euploid_wtGATA1	HALLMARK_MYC_TARGETS_V1	D7	0.7530232667922974	positive	positive	True	8321	9269
