perturbation	n_blocks	mean_block_effect	block_effect_sd	block_p_value	block_ci95_low	block_ci95_high	direction_stability	protein_mean_block_effect	rna_protein_direction_match	block_q_value	event_q_value	event_q_source	formal_e1_q_threshold	formal_e1_contract_pass	locked_primary_q_0_05_pass	ci_excludes_zero	posthoc_e2_eligible	formal_e2_contract_pass	event_support_code	event_test_status	event_q	event_q_missing_reason	e0_reason_code	posthoc_gate_rule
STAT1	3	-0.9154289765618167	0.07486896405003222	0.002222202172409712	-1.1014137935958765	-0.7294441595277567	1.0	-0.7851750272467122	True	0.055555054310242796	0.055555054310242796	BH-adjusted one-sample t test over replicate-block effects	0.1	True	False	True	True	False	E1	run_supported	0.055555054310242796			n_blocks>=3 AND block_q<=0.10 AND CI excludes 0 AND direction_stability>=0.80
IFNGR2	3	-0.829077414292224	0.14589159964076404	0.010164546119043544	-1.1914922387829356	-0.4666625898015124	1.0	-0.8694042273622956	True	0.10984183103799884	0.10984183103799884	BH-adjusted one-sample t test over replicate-block effects	0.1	False	False	True	False	False	E0	run_not_supported	0.10984183103799884		E0_not_supported	n_blocks>=3 AND block_q<=0.10 AND CI excludes 0 AND direction_stability>=0.80
JAK2	3	-0.82600041397866	0.16589834576938842	0.013181019724559862	-1.2381147510162864	-0.41388607694103347	1.0	-0.9320028866170711	True	0.10984183103799884	0.10984183103799884	BH-adjusted one-sample t test over replicate-block effects	0.1	False	False	True	False	False	E0	run_not_supported	0.10984183103799884		E0_not_supported	n_blocks>=3 AND block_q<=0.10 AND CI excludes 0 AND direction_stability>=0.80
IFNGR1	3	-0.8015788206917348	0.21153404226540196	0.022435562132913617	-1.3270585123956962	-0.27609912898777356	1.0	-0.8566281576961453	True	0.13370910481676307	0.13370910481676307	BH-adjusted one-sample t test over replicate-block effects	0.1	False	False	True	False	False	E0	run_not_supported	0.13370910481676307		E0_not_supported	n_blocks>=3 AND block_q<=0.10 AND CI excludes 0 AND direction_stability>=0.80
IRF1	3	-0.14769308512054277	0.04269383566586168	0.026741820963352612	-0.25375045235606675	-0.041635717885018825	1.0	-0.35749422684992166	True	0.13370910481676307	0.13370910481676307	BH-adjusted one-sample t test over replicate-block effects	0.1	False	False	True	False	False	E0	run_not_supported	0.13370910481676307		E0_not_supported	n_blocks>=3 AND block_q<=0.10 AND CI excludes 0 AND direction_stability>=0.80
STAT2	3	-0.07702998797676075	0.02952633865557236	0.045648089015659706	-0.15037747932007064	-0.0036824966334508547	1.0	-0.041757674501534225	True	0.1902003708985821	0.1902003708985821	BH-adjusted one-sample t test over replicate-block effects	0.1	False	False	True	False	False	E0	run_not_supported	0.1902003708985821		E0_not_supported	n_blocks>=3 AND block_q<=0.10 AND CI excludes 0 AND direction_stability>=0.80
CMTM6	3	-0.01990326351416218	0.018018929652980888	0.19584870735866552	-0.06466476618995359	0.02485823916162923	1.0	-0.4572083110195339	True	0.44511069854242163	0.44511069854242163	BH-adjusted one-sample t test over replicate-block effects	0.1	False	False	False	False	False	E0	run_not_supported	0.44511069854242163		E0_not_supported	n_blocks>=3 AND block_q<=0.10 AND CI excludes 0 AND direction_stability>=0.80
MARCH8	3	-0.021382540301544475	0.016292847803998558	0.1509142355080843	-0.061856217962764276	0.019091137359675325	1.0	-0.0461862867312209	True	0.44511069854242163	0.44511069854242163	BH-adjusted one-sample t test over replicate-block effects	0.1	False	False	False	False	False	E0	run_not_supported	0.44511069854242163		E0_not_supported	n_blocks>=3 AND block_q<=0.10 AND CI excludes 0 AND direction_stability>=0.80
SMAD4	3	-0.04633584176723632	0.04058019525853199	0.18657020750744902	-0.14714263515789833	0.05447095162342569	0.6666666666666666	-0.12597121280641232	True	0.44511069854242163	0.44511069854242163	BH-adjusted one-sample t test over replicate-block effects	0.1	False	False	False	False	False	E0	run_not_supported	0.44511069854242163		E0_not_supported	n_blocks>=3 AND block_q<=0.10 AND CI excludes 0 AND direction_stability>=0.80
TNFRSF14	3	-0.05297957172060774	0.03822831317475965	0.13841304618570438	-0.14794396613345334	0.04198482269223787	1.0	-0.05068066270552792	True	0.44511069854242163	0.44511069854242163	BH-adjusted one-sample t test over replicate-block effects	0.1	False	False	False	False	False	E0	run_not_supported	0.44511069854242163		E0_not_supported	n_blocks>=3 AND block_q<=0.10 AND CI excludes 0 AND direction_stability>=0.80
