perturbation	modality	replicate	n_cells	reference_n_cells	effect
ATF2	RNA_event	rep1	481	965	-0.005137969324661318
BRD4	RNA_event	rep1	122	965	0.027056385843130776
CAV1	RNA_event	rep1	357	965	-0.020493585813101317
CD86	RNA_event	rep1	560	965	0.021398352469259363
CMTM6	RNA_event	rep1	345	965	-0.0147635832202975
CUL3	RNA_event	rep1	136	965	-0.009429928232843277
ETV7	RNA_event	rep1	367	965	0.030624524350250204
IFNGR1	RNA_event	rep1	680	965	-0.557491185169167
IFNGR2	RNA_event	rep1	522	965	-0.6667842150469845
IRF1	RNA_event	rep1	610	965	-0.09843908412360441
IRF7	RNA_event	rep1	317	965	-0.016417048782977117
JAK2	RNA_event	rep1	417	965	-0.6394232267334343
MARCH8	RNA_event	rep1	477	965	-0.027138463038528668
MYC	RNA_event	rep1	34	965	-0.15926196519792873
NFKBIA	RNA_event	rep1	403	965	0.021437048118795765
PDCD1LG2	RNA_event	rep1	185	965	-0.037134523834636446
POU2F2	RNA_event	rep1	352	965	0.018211606584511125
SMAD4	RNA_event	rep1	369	965	0.0003154181069950357
SPI1	RNA_event	rep1	27	965	-0.07454382085000111
STAT1	RNA_event	rep1	248	965	-0.9181891331960553
STAT2	RNA_event	rep1	300	965	-0.11078606621940909
STAT3	RNA_event	rep1	218	965	-0.015822983896681825
STAT5A	RNA_event	rep1	288	965	0.02860564999064455
TNFRSF14	RNA_event	rep1	414	965	-0.05159297255325131
UBE2L6	RNA_event	rep1	234	965	0.04259493910194534
ATF2	RNA_event	rep2	286	666	0.030616081955489677
BRD4	RNA_event	rep2	83	666	-0.004303354313145241
CAV1	RNA_event	rep2	239	666	-0.019207459107193875
CD86	RNA_event	rep2	309	666	-0.022725256604387928
CMTM6	RNA_event	rep2	214	666	-0.005012588471194818
CUL3	RNA_event	rep2	69	666	0.1505611514717628
ETV7	RNA_event	rep2	204	666	-0.055738976228448284
IFNGR1	RNA_event	rep2	331	666	-0.9157124756296369
IFNGR2	RNA_event	rep2	306	666	-0.8711081992767761
IRF1	RNA_event	rep2	267	666	-0.17050455726373953
IRF7	RNA_event	rep2	121	666	0.030761550521128056
JAK2	RNA_event	rep2	329	666	-0.9568918802144728
MARCH8	RNA_event	rep2	224	666	-0.0029930056843885944
MYC	RNA_event	rep2	35	666	-0.28432806659086785
NFKBIA	RNA_event	rep2	194	666	-0.0321225845871273
PDCD1LG2	RNA_event	rep2	175	666	-0.03641198619588029
POU2F2	RNA_event	rep2	152	666	-0.010018426770476013
SMAD4	RNA_event	rep2	159	666	-0.07346899206946894
SPI1	RNA_event	rep2	14	666	0.026383146124314444
STAT1	RNA_event	rep2	88	666	-0.9888796935728298
STAT2	RNA_event	rep2	183	666	-0.056004653271480784
STAT3	RNA_event	rep2	110	666	0.005186282184309554
STAT5A	RNA_event	rep2	173	666	-0.08415241238114446
TNFRSF14	RNA_event	rep2	257	666	-0.015463423058474868
UBE2L6	RNA_event	rep2	112	666	0.06474234142139268
ATF2	RNA_event	rep3	335	755	-0.02803726476470761
BRD4	RNA_event	rep3	136	755	0.10410519226521606
CAV1	RNA_event	rep3	286	755	0.006873511088766576
CD86	RNA_event	rep3	328	755	0.04498655302744564
CMTM6	RNA_event	rep3	258	755	-0.039933618850994224
CUL3	RNA_event	rep3	69	755	0.046552790641470554
ETV7	RNA_event	rep3	270	755	-0.015810135792766994
IFNGR1	RNA_event	rep3	330	755	-0.9315328012764006
IFNGR2	RNA_event	rep3	385	755	-0.9493398285529119
IRF1	RNA_event	rep3	196	755	-0.1741356139742844
IRF7	RNA_event	rep3	176	755	-0.04599521470401935
JAK2	RNA_event	rep3	278	755	-0.881686134988073
MARCH8	RNA_event	rep3	302	755	-0.034016152181716164
MYC	RNA_event	rep3	40	755	0.3084536405255677
NFKBIA	RNA_event	rep3	190	755	-0.022567841591325438
PDCD1LG2	RNA_event	rep3	257	755	0.015482943374672098
POU2F2	RNA_event	rep3	158	755	0.01341489526109077
SMAD4	RNA_event	rep3	131	755	-0.06585395133923505
SPI1	RNA_event	rep3	7	755	0.11568378972206059
STAT1	RNA_event	rep3	108	755	-0.8392181029165646
STAT2	RNA_event	rep3	178	755	-0.06429924443939239
STAT3	RNA_event	rep3	165	755	0.0007096905200768
STAT5A	RNA_event	rep3	198	755	-0.0019586235253030992
TNFRSF14	RNA_event	rep3	293	755	-0.09188231955009707
UBE2L6	RNA_event	rep3	172	755	0.0018770855843601164
ATF2	PDL1_protein	rep1	481	965	-0.04749945020381929
BRD4	PDL1_protein	rep1	122	965	0.36461793050288627
CAV1	PDL1_protein	rep1	357	965	0.0006764737717546154
CD86	PDL1_protein	rep1	560	965	0.05134974503073142
CMTM6	PDL1_protein	rep1	345	965	-0.2715773810340787
CUL3	PDL1_protein	rep1	136	965	0.25322442880034046
ETV7	PDL1_protein	rep1	367	965	-0.020958683690603053
IFNGR1	PDL1_protein	rep1	680	965	-0.45118652292891426
IFNGR2	PDL1_protein	rep1	522	965	-0.6379540701787905
IRF1	PDL1_protein	rep1	610	965	-0.2174645938552464
IRF7	PDL1_protein	rep1	317	965	0.144653196616356
JAK2	PDL1_protein	rep1	417	965	-0.6386204680732384
MARCH8	PDL1_protein	rep1	477	965	-0.043068590459757417
MYC	PDL1_protein	rep1	34	965	-0.18478545403223645
NFKBIA	PDL1_protein	rep1	403	965	0.06715466458962194
PDCD1LG2	PDL1_protein	rep1	185	965	-0.10405172978409105
POU2F2	PDL1_protein	rep1	352	965	0.11018337093888331
SMAD4	PDL1_protein	rep1	369	965	-0.09263893070373896
SPI1	PDL1_protein	rep1	27	965	-0.3024476815015529
STAT1	PDL1_protein	rep1	248	965	-0.522983399493115
STAT2	PDL1_protein	rep1	300	965	-0.06862438974525187
STAT3	PDL1_protein	rep1	218	965	-0.01219987919609622
STAT5A	PDL1_protein	rep1	288	965	0.10411063914715779
TNFRSF14	PDL1_protein	rep1	414	965	0.018527093502907377
UBE2L6	PDL1_protein	rep1	234	965	-0.06289796027510519
ATF2	PDL1_protein	rep2	286	666	0.09924535142427882
BRD4	PDL1_protein	rep2	83	666	0.1912953371452586
CAV1	PDL1_protein	rep2	239	666	-0.02181498363630663
CD86	PDL1_protein	rep2	309	666	-0.028781031549483416
CMTM6	PDL1_protein	rep2	214	666	-0.5604411293456915
CUL3	PDL1_protein	rep2	69	666	0.3504550580752497
ETV7	PDL1_protein	rep2	204	666	-0.022309853508205357
IFNGR1	PDL1_protein	rep2	331	666	-1.0393331084136772
IFNGR2	PDL1_protein	rep2	306	666	-0.916753911118743
IRF1	PDL1_protein	rep2	267	666	-0.3707514652352124
IRF7	PDL1_protein	rep2	121	666	0.05153710165557701
JAK2	PDL1_protein	rep2	329	666	-1.1020173976754375
MARCH8	PDL1_protein	rep2	224	666	0.032249264813795975
MYC	PDL1_protein	rep2	35	666	-0.08953443012007689
NFKBIA	PDL1_protein	rep2	194	666	0.0291802759024673
PDCD1LG2	PDL1_protein	rep2	175	666	-0.028038244064363838
POU2F2	PDL1_protein	rep2	152	666	0.019438757023688247
SMAD4	PDL1_protein	rep2	159	666	-0.15054571470880962
SPI1	PDL1_protein	rep2	14	666	-0.24856820241283106
STAT1	PDL1_protein	rep2	88	666	-0.9500682473920348
STAT2	PDL1_protein	rep2	183	666	0.02488791896477327
STAT3	PDL1_protein	rep2	110	666	0.1125849509973369
STAT5A	PDL1_protein	rep2	173	666	-0.048547382135336825
TNFRSF14	PDL1_protein	rep2	257	666	0.005664490625391316
UBE2L6	PDL1_protein	rep2	112	666	0.10798803755090702
ATF2	PDL1_protein	rep3	335	755	-0.024057807237686468
BRD4	PDL1_protein	rep3	136	755	0.29143578415498794
CAV1	PDL1_protein	rep3	286	755	-0.004200990626144652
CD86	PDL1_protein	rep3	328	755	0.05771121735744167
CMTM6	PDL1_protein	rep3	258	755	-0.5396064226788315
CUL3	PDL1_protein	rep3	69	755	0.16867491701223436
ETV7	PDL1_protein	rep3	270	755	-0.002047352241668854
IFNGR1	PDL1_protein	rep3	330	755	-1.0793648417458446
IFNGR2	PDL1_protein	rep3	385	755	-1.0535047007893534
IRF1	PDL1_protein	rep3	196	755	-0.4842666214593061
IRF7	PDL1_protein	rep3	176	755	-0.044947934748854834
JAK2	PDL1_protein	rep3	278	755	-1.0553707941025374
MARCH8	PDL1_protein	rep3	302	755	-0.12773953454770126
MYC	PDL1_protein	rep3	40	755	0.6358571826031802
NFKBIA	PDL1_protein	rep3	190	755	0.03868373265618974
PDCD1LG2	PDL1_protein	rep3	257	755	0.005648999067908278
POU2F2	PDL1_protein	rep3	158	755	-0.00028644008465761317
SMAD4	PDL1_protein	rep3	131	755	-0.1347289930066884
SPI1	PDL1_protein	rep3	7	755	0.17898271455713743
STAT1	PDL1_protein	rep3	108	755	-0.8824734348549867
STAT2	PDL1_protein	rep3	178	755	-0.08153655272412408
STAT3	PDL1_protein	rep3	165	755	-0.0521074996242854
STAT5A	PDL1_protein	rep3	198	755	0.026301949441634775
TNFRSF14	PDL1_protein	rep3	293	755	-0.17623357224488245
UBE2L6	PDL1_protein	rep3	172	755	0.07386570740983789
