tier	module	observed_delta	random_matched_mean_delta	random_matched_ci025	random_matched_ci975	housekeeping_delta	source_file	public_dataset	contrast_id	negative_control	control_metric	control_value	control_reverses_or_dominates	interpretation	negative_control_pass
standard	erythroid_output_axis	-0.4080297946929931	0.155074525475502	0.0285498343408107	0.2644562862813472	0.5258430242538452	gse298761_negative_control_margin.tsv								True
standard	heme_iron_axis	-0.5011494159698486	0.1772523626685142	0.0082296192646026	0.4088319361209868	0.5258430242538452	gse298761_negative_control_margin.tsv								True
standard	maturation_membrane_axis	-0.3019955158233642	0.179682844132185	-0.0175414994359016	0.3845796383917328	0.5258430242538452	gse298761_negative_control_margin.tsv								True
standard	glycolysis_axis	0.7303358316421509	0.1595449668169021	-0.0706196337938308	0.3896179080009457	0.5258430242538452	gse298761_negative_control_margin.tsv								True
standard	immature_progenitor_axis	0.0735687613487243	0.0676164682954549	-0.0869371324777603	0.1763558764010664	0.5258430242538452	gse298761_negative_control_margin.tsv								True
							public_rescue_negative_control_margin.tsv	GSE292039	MEDALIST_luspatercept_responder_vs_nonresponder	housekeeping_control	axis_delta_target_minus_reference	-0.1370959344168296	False	negative control must not dominate TED-predicted axis reversal	True
							public_rescue_negative_control_margin.tsv	GSE292039	MEDALIST_luspatercept_responder_vs_nonresponder	proliferation_control	axis_delta_target_minus_reference	-0.0290255327400366	False	negative control must not dominate TED-predicted axis reversal	True
							public_rescue_negative_control_margin.tsv	GSE292039	MEDALIST_luspatercept_responder_vs_nonresponder	random_matched_summary	fraction_random_sets_with_positive_rescue_like_delta	0.05	False	negative control must not dominate TED-predicted axis reversal	True
							public_rescue_negative_control_margin.tsv	GSE292039	GDF11_treated_vs_vehicle_in_vitro	housekeeping_control	axis_delta_target_minus_reference	-0.9759965326312292	False	negative control must not dominate TED-predicted axis reversal	True
							public_rescue_negative_control_margin.tsv	GSE292039	GDF11_treated_vs_vehicle_in_vitro	proliferation_control	axis_delta_target_minus_reference	-0.4928883178416112	False	negative control must not dominate TED-predicted axis reversal	True
							public_rescue_negative_control_margin.tsv	GSE292039	GDF11_treated_vs_vehicle_in_vitro	random_matched_summary	fraction_random_sets_with_positive_rescue_like_delta	0.29	True	negative control must not dominate TED-predicted axis reversal	True
