method	factor	factor_level	mean_fdp	empirical_fwer	mean_power	mean_false_e_promotion	mean_false_e_demotion	mean_non_e0_call_fraction	n
family_wide_maxT_fwer	n_blocks	3	0.0	0.0	0.0	0.0	0.11482758620689655	0.0	232
family_wide_maxT_fwer	n_blocks	5	0.1580827517788725	0.2413793103448276	0.2943827160493827	0.005129310344827586	0.08107758620689655	0.03594827586206897	232
family_wide_maxT_fwer	n_blocks	10	0.1937870929270924	0.38362068965517243	0.9540432098765431	0.03814655172413793	0.0053017241379310345	0.11461206896551725	232
naive_selected_window_bh	n_blocks	3	0.0	0.0	0.0	0.0	0.11482758620689655	0.0	232
naive_selected_window_bh	n_blocks	5	0.1722737805802933	0.2629310344827586	0.5644444444444444	0.13077586206896552	0.05008620689655172	0.16905172413793104	232
naive_selected_window_bh	n_blocks	10	0.7779039518430536	0.9655172413793104	1.0	0.47030172413793103	0.0	0.5468534482758621	232
per_event_max_window_bh	n_blocks	3	0.0	0.0	0.0	0.0	0.11482758620689655	0.0	232
per_event_max_window_bh	n_blocks	5	0.0	0.0	0.0	0.0	0.11482758620689655	0.0	232
per_event_max_window_bh	n_blocks	10	0.20684632314903073	0.4956896551724138	0.9992592592592593	0.054439655172413795	8.620689655172414e-05	0.13099137931034482	232
family_wide_maxT_fwer	n_pathways	20	0.06569940476190476	0.096875	0.4574074074074074	0.013125000000000001	0.04578125	0.042499999999999996	320
family_wide_maxT_fwer	n_pathways	50	0.2075664778918222	0.34913793103448276	0.43287037037037035	0.014051724137931036	0.06336206896551724	0.049913793103448276	232
family_wide_maxT_fwer	n_pathways	100	0.0864900803963304	0.22916666666666666	0.35814814814814816	0.017916666666666668	0.12034722222222222	0.06770833333333333	144
naive_selected_window_bh	n_pathways	20	0.40190967503697284	0.48125	0.5462962962962963	0.26265625	0.03828125	0.29703124999999997	320
naive_selected_window_bh	n_pathways	50	0.2168093831593732	0.3017241379310345	0.5370370370370371	0.1271551724137931	0.05172413793103448	0.16439655172413795	232
naive_selected_window_bh	n_pathways	100	0.2884052848431292	0.4236111111111111	0.4811111111111111	0.1798611111111111	0.09729166666666667	0.22847222222222222	144
per_event_max_window_bh	n_pathways	20	0.05048363095238095	0.103125	0.3333333333333333	0.01484375	0.05625	0.03359375	320
per_event_max_window_bh	n_pathways	50	0.11049800629418716	0.20689655172413793	0.3333333333333333	0.017586206896551725	0.07448275862068966	0.042413793103448276	232
per_event_max_window_bh	n_pathways	100	0.04304199726084585	0.2361111111111111	0.3325925925925926	0.026388888888888892	0.12513888888888888	0.06805555555555556	144
family_wide_maxT_fwer	n_windows	10	0.10403873180546351	0.18112244897959184	0.37485042735042734	0.015714285714285715	0.06142857142857142	0.03834183673469388	392
family_wide_maxT_fwer	n_windows	25	0.11324955908289241	0.24074074074074073	0.49484126984126986	0.025925925925925925	0.09722222222222222	0.09657407407407408	108
family_wide_maxT_fwer	n_windows	50	0.14601871797494784	0.24489795918367346	0.4141269841269842	0.005510204081632653	0.06173469387755102	0.04831632653061225	196
naive_selected_window_bh	n_windows	10	0.13057481535077337	0.19642857142857142	0.358974358974359	0.05941326530612245	0.06288265306122448	0.0778826530612245	392
naive_selected_window_bh	n_windows	25	0.3256586769845677	0.5092592592592593	0.6547619047619048	0.2551851851851852	0.06694444444444445	0.33046296296296296	108
naive_selected_window_bh	n_windows	50	0.6841059652570409	0.7806122448979592	0.6900000000000001	0.4520408163265306	0.03255102040816327	0.5095408163265306	196
per_event_max_window_bh	n_windows	10	0.06483452847241783	0.1377551020408163	0.3076923076923077	0.017729591836734695	0.06795918367346938	0.033035714285714286	392
per_event_max_window_bh	n_windows	25	0.061394648978316	0.25	0.4276190476190476	0.037222222222222226	0.11018518518518519	0.09166666666666667	108
per_event_max_window_bh	n_windows	50	0.08133974346800615	0.17346938775510204	0.2857142857142857	0.008469387755102042	0.07530612244897959	0.038469387755102044	196
family_wide_maxT_fwer	pathway_correlation	0.0	0.08623018399580899	0.15	0.41808641975308647	0.009156250000000001	0.048343750000000005	0.03584375	320
family_wide_maxT_fwer	pathway_correlation	0.3	0.10955545292829777	0.1896551724137931	0.3718518518518519	0.016681034482758622	0.07155172413793104	0.04767241379310345	232
family_wide_maxT_fwer	pathway_correlation	0.7	0.19877277787333256	0.3680555555555556	0.45848765432098765	0.022500000000000003	0.10145833333333333	0.08611111111111111	144
naive_selected_window_bh	pathway_correlation	0.0	0.14332073259984585	0.209375	0.5370370370370371	0.08653125	0.038625	0.11428125	320
naive_selected_window_bh	pathway_correlation	0.3	0.5354966940856714	0.6336206896551724	0.4811111111111111	0.35495689655172413	0.058836206896551724	0.38512931034482756	232
naive_selected_window_bh	pathway_correlation	0.7	0.3496067115443754	0.4930555555555556	0.5462962962962963	0.20423611111111112	0.08506944444444445	0.27895833333333336	144
per_event_max_window_bh	pathway_correlation	0.0	0.019368898767380634	0.10625	0.3325925925925926	0.011875	0.0551875	0.030625000000000003	320
per_event_max_window_bh	pathway_correlation	0.3	0.06963259441707717	0.14224137931034483	0.3333333333333333	0.020474137931034482	0.0760344827586207	0.04633620689655173	232
per_event_max_window_bh	pathway_correlation	0.7	0.1780245656961904	0.3333333333333333	0.3333333333333333	0.028333333333333335	0.125	0.06833333333333333	144
family_wide_maxT_fwer	effect_size	moderate	0.14017204246370912	0.42592592592592593	0.4591358024691358	0.0025	0.13333333333333333	0.11583333333333333	108
family_wide_maxT_fwer	effect_size	null	0.10215053763440861	0.10215053763440861		0.0031451612903225803	0.0	0.0031451612903225803	372
family_wide_maxT_fwer	effect_size	strong	0.07335442167313512	0.23148148148148148	0.47555555555555556	0.0011111111111111111	0.12953703703703703	0.11824074074074074	108
