analysis_stratum	method	n_scenario_replicates	mean_fdp	ci95_low_fdp	ci95_high_fdp	mean_family_wise_false_positive	ci95_low_family_wise_false_positive	ci95_high_family_wise_false_positive	mean_power	ci95_low_power	ci95_high_power	mean_onset_location_mae	ci95_low_onset_location_mae	ci95_high_onset_location_mae	mean_peak_location_mae	ci95_low_peak_location_mae	ci95_high_peak_location_mae	mean_false_e_promotion	ci95_low_false_e_promotion	ci95_high_false_e_promotion	mean_false_e_demotion	ci95_low_false_e_demotion	ci95_high_false_e_demotion	mean_non_e0_call_fraction	ci95_low_non_e0_call_fraction	ci95_high_non_e0_call_fraction	worst_scenario_mean_fdp	worst_scenario_fwer
all_scenarios	naive_selected_window_bh	696	0.31672591080778234	0.2868671427133836	0.3465846789021811	0.40948275862068967	0.3729234671501249	0.4460420500912544	0.5214814814814815	0.46701610982023994	0.5759468531427232	0.3116048206465416	0.3047385784486038	0.3184710628444794	0.21206398555811853	0.20522081396583583	0.21890715715040124	0.20035919540229888	0.17971018128178032	0.22100820952281744	0.05497126436781609	0.047336611224401984	0.0626059175112302	0.23863505747126434	0.21529189288394324	0.26197822205858545	1.0	1.0
all_scenarios	per_event_max_window_bh	696	0.06894877438301024	0.054196330341954785	0.0837012184240657	0.16522988505747127	0.1376182950684915	0.19284147504645105	0.33308641975308645	0.28171326681786735	0.38445957268830555	0.31347640719815867	0.30462249054315765	0.3223303238531597	0.20698237078886794	0.19976079752727044	0.21420394405046544	0.01814655172413793	0.013660777400435559	0.022632326047840302	0.07658045977011495	0.06809532394513164	0.08506559559509826	0.04366379310344828	0.036274650422055625	0.05105293578484093	1.0	1.0
all_scenarios	family_wide_maxT_fwer	696	0.11728994823532161	0.09713820591599738	0.13744169055464583	0.20833333333333334	0.17813977972570982	0.23852688694095686	0.416141975308642	0.3684900603411075	0.4637938902761765	0.3347824686356328	0.3233960363064045	0.34616890096486114	0.22741179172362025	0.21669008854823502	0.23813349489900548	0.014425287356321839	0.01079793140127698	0.018052643311366696	0.06706896551724138	0.05942120568401203	0.07471672535047073	0.0501867816091954	0.04345715804680264	0.056916405171588164	1.0	1.0
clean_all	naive_selected_window_bh	372	0.2975603363886096	0.25278252100653054	0.3423381517706887	0.3225806451612903	0.2750124065815475	0.3701488837410331	0.3472222222222222	0.23647997455590408	0.45796446988854034	0.31745762711864406	0.29543093068589027	0.33948432355139785	0.19384180790960454	0.17259146336599923	0.21509215245320984	0.19451612903225807	0.16336615557996062	0.22566610248455551	0.030645161290322583	0.022443457315619187	0.03884686526502598	0.2092741935483871	0.17637452573448162	0.2421738613622926	0.95	1.0
clean_all	per_event_max_window_bh	372	0.03000192012288786	0.013342437131714222	0.0466614031140615	0.04032258064516129	0.02030526145994055	0.06033989983038203	0.16666666666666666	0.07997833423573503	0.2533549990975983	0.3135593220338983	0.280263567882322	0.3468550761854746	0.20621468926553674	0.18371574119253362	0.22871363733853986	0.003360215053763441	0.0014339666873850643	0.005286463420141817	0.039354838709677424	0.030220580803072834	0.048489096616282014	0.0114247311827957	0.006047064222396673	0.016802398143194727	0.1	0.4166666666666667
clean_all	family_wide_maxT_fwer	372	0.07101254480286738	0.04505078237616858	0.09697430722956618	0.07526881720430108	0.048422518772934256	0.1021151156356679	0.375	0.27961875727328145	0.47038124272671855	0.3405022089121108	0.3128226494971723	0.3681817683270493	0.21462448494116645	0.18913080402174853	0.24011816586058438	0.0040860215053763445	0.0024328054586798646	0.005739237552072824	0.02946236559139785	0.021892409072736305	0.0370323221100594	0.021370967741935483	0.015317674453496414	0.027424261030374552	0.16666666666666666	0.16666666666666666
clean_null	naive_selected_window_bh	300	0.31666666666666665	0.26393907253930243	0.36939426079403087	0.31666666666666665	0.26393907253930243	0.36939426079403087										0.20199999999999999	0.16571994137021545	0.23828005862978452	0.0	0.0	0.0	0.20199999999999999	0.16571994137021545	0.23828005862978452	0.95	0.95
clean_null	per_event_max_window_bh	300	0.03333333333333333	0.01298643470210879	0.05368023196455787	0.03333333333333333	0.01298643470210879	0.05368023196455787										0.0028333333333333335	0.000815287249547359	0.004851379417119308	0.0	0.0	0.0	0.0028333333333333335	0.000815287249547359	0.004851379417119308	0.1	0.1
clean_null	family_wide_maxT_fwer	300	0.08	0.049248990010332755	0.11075100998966725	0.08	0.049248990010332755	0.11075100998966725										0.0035666666666666668	0.0018590856494059616	0.005274247683927372	0.0	0.0	0.0	0.0035666666666666668	0.0018590856494059616	0.005274247683927372	0.13	0.13
clean_signal	naive_selected_window_bh	72	0.21795062689670533	0.14779015308536797	0.2881111007080427	0.3472222222222222	0.23647997455590408	0.45796446988854034	0.3472222222222222	0.23647997455590408	0.45796446988854034	0.31745762711864406	0.29543093068589027	0.33948432355139785	0.19384180790960454	0.17259146336599923	0.21509215245320984	0.16333333333333333	0.10824155104465302	0.21842511562201364	0.15833333333333333	0.13145995027974453	0.18520671638692213	0.23958333333333334	0.16170995654133177	0.31745671012533494	0.6246558452440806	1.0
clean_signal	per_event_max_window_bh	72	0.016121031746031744	0.0014381911337266046	0.030803872358336884	0.06944444444444445	0.010313229265067225	0.12857565962382167	0.16666666666666666	0.07997833423573503	0.2533549990975983	0.3135593220338983	0.280263567882322	0.3468550761854746	0.20621468926553674	0.18371574119253362	0.22871363733853986	0.005555555555555556	0.00022737599038516292	0.010883735120725949	0.20333333333333334	0.18215581550555537	0.2245108511611113	0.04722222222222222	0.02225591559305812	0.07218852885138632	0.09672619047619047	0.4166666666666667
clean_signal	family_wide_maxT_fwer	72	0.03356481481481482	0.0	0.07242172056838185	0.05555555555555555	0.0022737599038516187	0.10883735120725949	0.375	0.27961875727328145	0.47038124272671855	0.3405022089121108	0.3128226494971723	0.3681817683270493	0.21462448494116645	0.18913080402174853	0.24011816586058438	0.00625	0.0015266789918688684	0.010973321008131132	0.15222222222222223	0.12907068420856438	0.17537376023588008	0.09555555555555556	0.07170479601512292	0.1194063150959882	0.16666666666666666	0.16666666666666666
artifact_stress	naive_selected_window_bh	324	0.338730829585351	0.3004437162302953	0.3770179429404067	0.5092592592592593	0.4547399513288583	0.5637785671896604	0.5712698412698413	0.5100634557849852	0.6324762267546973	0.3105887084118016	0.3034697878420595	0.31770762898154364	0.21522755806654112	0.2081854067421018	0.22226970939098045	0.20706790123456792	0.18079663340256052	0.2333391690665753	0.08290123456790123	0.07012049146653167	0.09568197766927079	0.2723456790123457	0.23969709960379318	0.3049942584208982	1.0	1.0
artifact_stress	per_event_max_window_bh	324	0.11366553297796553	0.08926388383153089	0.13806718212440017	0.30864197530864196	0.2582648003978585	0.35901915021942543	0.38063492063492066	0.3206052458785138	0.4406645953913275	0.3134660428436911	0.30433997890808107	0.32259210677930117	0.20707833097928438	0.19941341152157063	0.21474325043699813	0.03512345679012346	0.026084566062247138	0.04416234751799977	0.11932098765432098	0.10582637634556223	0.13281559896307973	0.08067901234567901	0.06712387583481867	0.09423414885653934	1.0	1.0
artifact_stress	family_wide_maxT_fwer	324	0.17042326328739874	0.14000383432820326	0.2008426922465942	0.3611111111111111	0.3087284082452735	0.41349381397694873	0.4278968253968254	0.3730136925945292	0.48277995819912156	0.3333711041518266	0.32088839696883303	0.3458538113348201	0.23056710118942053	0.2187827656226193	0.24235143675622176	0.026296296296296293	0.018942584434465455	0.03365000815812713	0.11024691358024691	0.09786604473837389	0.12262778242211993	0.08327160493827161	0.07158195433013856	0.09496125554640467	1.0	1.0
