scenario_id	n_blocks	n_pathways	n_windows	pathway_correlation	effect_size	artifact	n_perm	target_q	signal_modes
AW01	3	20	10	0.0	null	none	1000	0.1	activation;suppression;delay;loss;redirection
AW02	5	20	10	0.7	weak	none	1000	0.1	activation;suppression;delay;loss;redirection
AW03	10	20	10	0.3	moderate	composition	1000	0.1	activation;suppression;delay;loss;redirection
AW04	3	50	10	0.3	strong	composition	1000	0.1	activation;suppression;delay;loss;redirection
AW05	5	50	10	0.0	null	none	1000	0.1	activation;suppression;delay;loss;redirection
AW06	10	50	10	0.7	weak	stress	5000	0.1	activation;suppression;delay;loss;redirection
AW07	3	100	10	0.7	moderate	batch_time	1000	0.1	activation;suppression;delay;loss;redirection
AW08	5	100	10	0.3	strong	batch_time	1000	0.1	activation;suppression;delay;loss;redirection
AW09	10	100	10	0.0	null	missing_intermediates	1000	0.1	activation;suppression;delay;loss;redirection
AW10	3	20	25	0.0	weak	missing_intermediates	1000	0.1	activation;suppression;delay;loss;redirection
AW11	5	20	25	0.7	moderate	none	1000	0.1	activation;suppression;delay;loss;redirection
AW12	10	20	25	0.3	strong	none	5000	0.1	activation;suppression;delay;loss;redirection
AW13	3	50	25	0.3	null	composition	1000	0.1	activation;suppression;delay;loss;redirection
AW14	5	50	25	0.0	weak	composition	1000	0.1	activation;suppression;delay;loss;redirection
AW15	10	50	25	0.7	moderate	stress	1000	0.1	activation;suppression;delay;loss;redirection
AW16	3	100	25	0.7	strong	stress	1000	0.1	activation;suppression;delay;loss;redirection
AW17	5	100	25	0.3	null	batch_time	1000	0.1	activation;suppression;delay;loss;redirection
AW18	10	100	25	0.0	weak	batch_time	5000	0.1	activation;suppression;delay;loss;redirection
AW19	3	20	50	0.0	moderate	missing_intermediates	1000	0.1	activation;suppression;delay;loss;redirection
AW20	5	20	50	0.7	strong	missing_intermediates	1000	0.1	activation;suppression;delay;loss;redirection
AW21	10	20	50	0.3	null	none	1000	0.1	activation;suppression;delay;loss;redirection
AW22	3	50	50	0.3	weak	none	1000	0.1	activation;suppression;delay;loss;redirection
AW23	5	50	50	0.0	moderate	composition	1000	0.1	activation;suppression;delay;loss;redirection
AW24	10	50	50	0.7	strong	composition	5000	0.1	activation;suppression;delay;loss;redirection
AW25	3	100	50	0.7	null	stress	1000	0.1	activation;suppression;delay;loss;redirection
AW26	5	100	50	0.3	weak	stress	1000	0.1	activation;suppression;delay;loss;redirection
AW27	10	100	50	0.0	moderate	batch_time	1000	0.1	activation;suppression;delay;loss;redirection
AW28	3	20	10	0.0	strong	batch_time	1000	0.1	activation;suppression;delay;loss;redirection
AW29	5	20	10	0.7	null	missing_intermediates	1000	0.1	activation;suppression;delay;loss;redirection
AW30	10	20	10	0.3	weak	missing_intermediates	5000	0.1	activation;suppression;delay;loss;redirection
AW31	3	50	10	0.3	moderate	none	1000	0.1	activation;suppression;delay;loss;redirection
AW32	5	50	10	0.0	strong	none	1000	0.1	activation;suppression;delay;loss;redirection
AW33	10	50	10	0.7	null	composition	1000	0.1	activation;suppression;delay;loss;redirection
AW34	3	100	10	0.7	weak	composition	1000	0.1	activation;suppression;delay;loss;redirection
AW35	5	100	10	0.3	moderate	stress	1000	0.1	activation;suppression;delay;loss;redirection
AW36	10	100	10	0.0	strong	stress	5000	0.1	activation;suppression;delay;loss;redirection
