pathway	direction	event_mode	event_support_code	called	ambiguous	area	dataset_id	scoring_method	trajectory_input
Epithelial Mesenchymal Transition	up	recurrent pathway program	E2	True	False	2.2735557725512967	GSE126085_real_time	pyfgsea_rolling	true_time
Apical Junction	up	recurrent pathway program	E2	True	False	2.705598107282633	GSE126085_real_time	pyfgsea_rolling	true_time
Protein Secretion	up	recurrent pathway program	E2	True	False	1.9285157886702335	GSE126085_real_time	pyfgsea_rolling	true_time
Allograft Rejection	up	recurrent pathway program	E2	True	False	2.461102834949667	GSE126085_real_time	pyfgsea_rolling	true_time
Apoptosis	up	recurrent pathway program	E2	True	False	2.200735625094993	GSE126085_real_time	pyfgsea_rolling	true_time
Hypoxia	up	recurrent pathway program	E2	True	False	2.103822651334638	GSE126085_real_time	pyfgsea_rolling	true_time
PI3K/AKT/mTOR  Signaling	up	recurrent pathway program	E2	True	False	1.990072359193073	GSE126085_real_time	pyfgsea_rolling	true_time
Fatty Acid Metabolism	up	recurrent pathway program	E2	True	False	1.8948964694206964	GSE126085_real_time	pyfgsea_rolling	true_time
Xenobiotic Metabolism	up	recurrent pathway program	E2	True	False	1.9795936348884116	GSE126085_real_time	pyfgsea_rolling	true_time
KRAS Signaling Up	up	recurrent pathway program	E2	True	False	2.194575818110536	GSE126085_real_time	pyfgsea_rolling	true_time
Myogenesis	up	recurrent pathway program	E2	True	False	1.8567185701871134	GSE126085_real_time	pyfgsea_rolling	true_time
Unfolded Protein Response	up	recurrent pathway program	E2	True	False	2.0513107025355297	GSE126085_real_time	pyfgsea_rolling	true_time
UV Response Up	up	recurrent pathway program	E2	True	False	2.2223716014571906	GSE126085_real_time	pyfgsea_rolling	true_time
Estrogen Response Late	up	recurrent pathway program	E1	True	False	1.937987205467135	GSE126085_real_time	pyfgsea_rolling	true_time
UV Response Dn	up	recurrent pathway program	E1	True	False	1.831730044790496	GSE126085_real_time	pyfgsea_rolling	true_time
Interferon Alpha Response	up	recurrent pathway program	E1	True	False	1.7656187567024806	GSE126085_real_time	pyfgsea_rolling	true_time
DNA Repair	up	recurrent pathway program	E1	True	False	1.852551260320566	GSE126085_real_time	pyfgsea_rolling	true_time
Estrogen Response Early	up	recurrent pathway program	E1	True	False	1.8559313660816326	GSE126085_real_time	pyfgsea_rolling	true_time
Epithelial Mesenchymal Transition	down	recurrent pathway program	E2	True	False	-1.331686823298119	GSE126085_real_time	pyfgsea_rolling	dpt_pseudotime
Apical Junction	down	recurrent pathway program	E2	True	False	-1.476070729528759	GSE126085_real_time	pyfgsea_rolling	dpt_pseudotime
Allograft Rejection	down	recurrent pathway program	E2	True	False	-1.1106569836313842	GSE126085_real_time	pyfgsea_rolling	dpt_pseudotime
Apoptosis	down	recurrent pathway program	E2	True	False	-1.5561417855933428	GSE126085_real_time	pyfgsea_rolling	dpt_pseudotime
Protein Secretion	down	recurrent pathway program	E2	True	False	-1.35502276580553	GSE126085_real_time	pyfgsea_rolling	dpt_pseudotime
KRAS Signaling Up	down	recurrent pathway program	E2	True	False	-0.9783535191292484	GSE126085_real_time	pyfgsea_rolling	dpt_pseudotime
Hypoxia	down	recurrent pathway program	E2	True	False	-1.0108119033054792	GSE126085_real_time	pyfgsea_rolling	dpt_pseudotime
Fatty Acid Metabolism	down	recurrent pathway program	E2	True	False	-1.3054149724239288	GSE126085_real_time	pyfgsea_rolling	dpt_pseudotime
PI3K/AKT/mTOR  Signaling	down	recurrent pathway program	E2	True	False	-1.2358294690753064	GSE126085_real_time	pyfgsea_rolling	dpt_pseudotime
Xenobiotic Metabolism	down	recurrent pathway program	E2	True	False	-1.5588231181405412	GSE126085_real_time	pyfgsea_rolling	dpt_pseudotime
UV Response Up	down	recurrent pathway program	E2	True	False	-1.226717140195344	GSE126085_real_time	pyfgsea_rolling	dpt_pseudotime
Unfolded Protein Response	down	recurrent pathway program	E2	True	False	-1.0729238702643118	GSE126085_real_time	pyfgsea_rolling	dpt_pseudotime
Estrogen Response Late	down	recurrent pathway program	E2	True	False	-1.2136720226071667	GSE126085_real_time	pyfgsea_rolling	dpt_pseudotime
Myogenesis	down	recurrent pathway program	E2	True	False	-1.2537163924083816	GSE126085_real_time	pyfgsea_rolling	dpt_pseudotime
UV Response Dn	down	recurrent pathway program	E1	True	False	-0.9933304065662315	GSE126085_real_time	pyfgsea_rolling	dpt_pseudotime
Estrogen Response Early	down	recurrent pathway program	E1	True	False	-1.0760701276719253	GSE126085_real_time	pyfgsea_rolling	dpt_pseudotime
Interferon Alpha Response	down	recurrent pathway program	E1	True	False	-0.6538167954921767	GSE126085_real_time	pyfgsea_rolling	dpt_pseudotime
DNA Repair	down	recurrent pathway program	E1	True	False	-1.1293588489443773	GSE126085_real_time	pyfgsea_rolling	dpt_pseudotime
Allograft Rejection	up	recurrent pathway program	E1	True	False	0.5058698902919898	GSE126085_real_time	rank_auc	true_time
Apical Junction	up	recurrent pathway program	E1	True	False	0.5012953530053158	GSE126085_real_time	rank_auc	true_time
Apoptosis	up	recurrent pathway program	E1	True	False	0.4120364418580701	GSE126085_real_time	rank_auc	true_time
DNA Repair	down	biphasic pathway program	E1	True	False	-0.5182648037854782	GSE126085_real_time	rank_auc	true_time
Epithelial Mesenchymal Transition	up	recurrent pathway program	E1	True	False	0.370006343553186	GSE126085_real_time	rank_auc	true_time
Estrogen Response Early	down	recurrent pathway program	E1	True	False	-0.29497856666740696	GSE126085_real_time	rank_auc	true_time
Estrogen Response Late	up	recurrent pathway program	E1	True	False	0.6209881557177352	GSE126085_real_time	rank_auc	true_time
Fatty Acid Metabolism	down	recurrent pathway program	E1	True	False	-0.6333154627741516	GSE126085_real_time	rank_auc	true_time
Hypoxia	up	recurrent pathway program	E1	True	False	0.4260351228147593	GSE126085_real_time	rank_auc	true_time
Interferon Alpha Response	up	recurrent pathway program	E1	True	False	0.4088544346901566	GSE126085_real_time	rank_auc	true_time
KRAS Signaling Up	up	recurrent pathway program	E1	True	False	0.3971062909983347	GSE126085_real_time	rank_auc	true_time
Myogenesis	down	recurrent pathway program	E1	True	False	-0.09133776754736994	GSE126085_real_time	rank_auc	true_time
PI3K/AKT/mTOR  Signaling	up	recurrent pathway program	E1	True	False	0.47414470677782905	GSE126085_real_time	rank_auc	true_time
Protein Secretion	up	recurrent pathway program	E1	True	False	0.2488009759265362	GSE126085_real_time	rank_auc	true_time
UV Response Dn	up	recurrent pathway program	E1	True	False	0.14715364831805483	GSE126085_real_time	rank_auc	true_time
UV Response Up	up	recurrent pathway program	E1	True	False	0.46962304777246566	GSE126085_real_time	rank_auc	true_time
Unfolded Protein Response	up	recurrent pathway program	E1	True	False	0.429483596645731	GSE126085_real_time	rank_auc	true_time
Xenobiotic Metabolism	down	recurrent pathway program	E1	True	False	-0.011460870113224164	GSE126085_real_time	rank_auc	true_time
Allograft Rejection	down	early suppression / late recovery	E1	True	False	-0.35454018126251	GSE126085_real_time	rank_auc	dpt_pseudotime
Apical Junction	down	recurrent pathway program	E1	True	False	-0.3201692592146064	GSE126085_real_time	rank_auc	dpt_pseudotime
Apoptosis	down	early suppression / late recovery	E1	True	False	-0.36737404708760113	GSE126085_real_time	rank_auc	dpt_pseudotime
DNA Repair	down	recurrent pathway program	E1	True	False	-0.26135764671562595	GSE126085_real_time	rank_auc	dpt_pseudotime
Epithelial Mesenchymal Transition	down	early suppression / late recovery	E1	True	False	-0.36976213031810573	GSE126085_real_time	rank_auc	dpt_pseudotime
Estrogen Response Early	up	recurrent pathway program	E1	True	False	0.429376370437387	GSE126085_real_time	rank_auc	dpt_pseudotime
Estrogen Response Late	down	early suppression / late recovery	E1	True	False	-0.2586687095570823	GSE126085_real_time	rank_auc	dpt_pseudotime
Fatty Acid Metabolism	down	biphasic pathway program	E1	True	False	-0.0010349997077393203	GSE126085_real_time	rank_auc	dpt_pseudotime
Hypoxia	down	early suppression / late recovery	E1	True	False	-0.3690002017760475	GSE126085_real_time	rank_auc	dpt_pseudotime
Interferon Alpha Response	down	early suppression / late recovery	E1	True	False	-0.40613835495399037	GSE126085_real_time	rank_auc	dpt_pseudotime
KRAS Signaling Up	down	recurrent pathway program	E1	True	False	-0.38655126648270044	GSE126085_real_time	rank_auc	dpt_pseudotime
Myogenesis	down	recurrent pathway program	E1	True	False	-0.3386280088953719	GSE126085_real_time	rank_auc	dpt_pseudotime
PI3K/AKT/mTOR  Signaling	down	early suppression / late recovery	E1	True	False	-0.3407120553872249	GSE126085_real_time	rank_auc	dpt_pseudotime
Protein Secretion	down	recurrent pathway program	E1	True	False	-0.39888091523271174	GSE126085_real_time	rank_auc	dpt_pseudotime
UV Response Dn	down	recurrent pathway program	E1	True	False	-0.4237468428661447	GSE126085_real_time	rank_auc	dpt_pseudotime
UV Response Up	down	early suppression / late recovery	E1	True	False	-0.3569964739419066	GSE126085_real_time	rank_auc	dpt_pseudotime
Unfolded Protein Response	down	recurrent pathway program	E1	True	False	-0.37423867368211494	GSE126085_real_time	rank_auc	dpt_pseudotime
Xenobiotic Metabolism	down	early suppression / late recovery	E1	True	False	-0.3104932598751669	GSE126085_real_time	rank_auc	dpt_pseudotime
Allograft Rejection	up	recurrent pathway program	E1	True	False	0.49589715831390646	GSE126085_real_time	mean_zscore	true_time
Apical Junction	up	recurrent pathway program	E1	True	False	0.4186902075407499	GSE126085_real_time	mean_zscore	true_time
Apoptosis	up	recurrent pathway program	E1	True	False	0.4137103353189555	GSE126085_real_time	mean_zscore	true_time
DNA Repair	up	recurrent pathway program	E1	True	False	0.44354051967312735	GSE126085_real_time	mean_zscore	true_time
Epithelial Mesenchymal Transition	up	recurrent pathway program	E1	True	False	0.3654461126924935	GSE126085_real_time	mean_zscore	true_time
Estrogen Response Early	up	recurrent pathway program	E1	True	False	0.43774610977742745	GSE126085_real_time	mean_zscore	true_time
Estrogen Response Late	up	recurrent pathway program	E1	True	False	0.39692543252647233	GSE126085_real_time	mean_zscore	true_time
Fatty Acid Metabolism	up	recurrent pathway program	E1	True	False	0.34916257576230575	GSE126085_real_time	mean_zscore	true_time
Hypoxia	up	recurrent pathway program	E1	True	False	0.440592118132459	GSE126085_real_time	mean_zscore	true_time
Interferon Alpha Response	up	recurrent pathway program	E1	True	False	0.4090211346782239	GSE126085_real_time	mean_zscore	true_time
KRAS Signaling Up	up	recurrent pathway program	E1	True	False	0.49205273105417924	GSE126085_real_time	mean_zscore	true_time
Myogenesis	up	recurrent pathway program	E1	True	False	0.3736794519125312	GSE126085_real_time	mean_zscore	true_time
PI3K/AKT/mTOR  Signaling	up	recurrent pathway program	E1	True	False	0.4497852248945523	GSE126085_real_time	mean_zscore	true_time
Protein Secretion	up	recurrent pathway program	E1	True	False	0.37605500509704537	GSE126085_real_time	mean_zscore	true_time
