dataset	file_name	source	download_url	local_path	file_size_bytes	file_size_human	status	sha256	error
GSE298761	GSE298761_geo_page.html	GEO_HTML	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE298761	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\metadata\GSE298761\GSE298761_geo_page.html	28012	27.36 KB	downloaded	e177613b69db108b94f13eb0db988326af7a74c1f174b8d2a834705bc796a150	
GSE315981	GSE315981_geo_page.html	GEO_HTML	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE315981	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\metadata\GSE315981\GSE315981_geo_page.html	30872	30.15 KB	downloaded	a0d1af55d1af67a171e92e19149520cd9c07eebf68b99ad56d76c7c012264b21	
GSE315986	GSE315986_geo_page.html	GEO_HTML	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE315986	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\metadata\GSE315986\GSE315986_geo_page.html	30647	29.93 KB	downloaded	3d212b6e89592778ea0bddb85658fb3d5318efeb65e4fc088a8749f5a61240b0	
GSE315986	GSE315986_series_matrix.txt.gz	GEO_series_matrix_FTP	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE315nnn/GSE315986/matrix/GSE315986_series_matrix.txt.gz	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\downloads\GSE315986\GSE315986_series_matrix.txt.gz	3254	3.18 KB	downloaded	21a163942190035b191055df03dc5dffa9d7954edaba6009db09c9539f5c83a9	
GSE61933	GSE61933_geo_page.html	GEO_HTML	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE61933	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\metadata\GSE61933\GSE61933_geo_page.html	34513	33.70 KB	downloaded	3e592713fd9e1b8a4b2dc09a44040e9a643f373a93687283862c4b4c2e447bd8	
GSE61933	GSE61933-GPL1261_series_matrix.txt.gz	GEO_series_matrix_FTP	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61933/matrix/GSE61933-GPL1261_series_matrix.txt.gz	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\downloads\GSE61933\GSE61933-GPL1261_series_matrix.txt.gz	914290	892.86 KB	downloaded	306dcc2b533c7ea0db44fb96ee37fa7ece2886d308de7970c81daa140632da29	
GSE61933	GSE61933-GPL13112_series_matrix.txt.gz	GEO_series_matrix_FTP	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61933/matrix/GSE61933-GPL13112_series_matrix.txt.gz	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\downloads\GSE61933\GSE61933-GPL13112_series_matrix.txt.gz	3411	3.33 KB	downloaded	e3245a1fc855e4538755cba0a0a6f7f15999b4b9ee4929c585f883a4e61f641c	
GSE61933	GSE61933-GPL6244_series_matrix.txt.gz	GEO_series_matrix_FTP	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61933/matrix/GSE61933-GPL6244_series_matrix.txt.gz	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\downloads\GSE61933\GSE61933-GPL6244_series_matrix.txt.gz	2332979	2.22 MB	downloaded	4915d67a978124c436b486fba088425013483c9a531e0f00b47e449993de6fdd	
GSE36787	GSE36787_geo_page.html	GEO_HTML	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE36787	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\metadata\GSE36787\GSE36787_geo_page.html	29974	29.27 KB	downloaded	761faf2069383535d9babdaafec1f7711229dbb5583ccc612f75bd3bdfdddb66	
GSE130156	GSE130156_geo_page.html	GEO_HTML	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE130156	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\metadata\GSE130156\GSE130156_geo_page.html	42393	41.40 KB	downloaded	6cb28e4adec03b562470ab3c4b6a7e363413453a21dacd5cd48b05a0363f5fbf	
SCP1064	SCP1064_site_api.json	SingleCellPortal_site_API	https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP1064	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\metadata\SCP1064\SCP1064_site_api.json	13135	12.83 KB	downloaded	ab778ad1159f144f5f9389454664eaaf4d38dbdbf5bc4691a1e37faeab02cf1b	
