variant_id	sensitivity_type	changed_parameters	event_recovery	event_mode_accuracy	artifact_rejection	overclaim_rate	downgrade_rate	gse271399_family_retained	gse271399_boundary_changed	zscape_event_mode_stability	gse157977_candidate_count	gse155254_rejected	gse93735_positive_stratum_pass	composite_stability_score	decision	analysis_goal	primary_configuration_policy
OAT01	one_at_a_time	event_fdr_threshold=0.05 (default 0.10)	0.903	0.928	0.939	0.022	0.333	True	False	0.91	9	True	True	2.7	primary-compatible	robustness_to_reasonable_parameter_settings_not_post_hoc_optimization	locked_default_retained
OAT02	one_at_a_time	event_fdr_threshold=0.10 (default 0.10)	0.948	0.922	0.913	0.036	0.281	True	False	0.91	9	True	True	2.711	keep_primary	robustness_to_reasonable_parameter_settings_not_post_hoc_optimization	locked_default_retained
OAT03	one_at_a_time	event_fdr_threshold=0.15 (default 0.10)	0.966	0.916	0.898	0.048	0.263	True	False	0.91	9	True	True	2.675	primary-compatible	robustness_to_reasonable_parameter_settings_not_post_hoc_optimization	locked_default_retained
OAT04	one_at_a_time	event_fdr_threshold=0.20 (default 0.10)	0.98	0.903	0.862	0.067	0.24	True	False	0.885	11	False	True	2.591	too-permissive	robustness_to_reasonable_parameter_settings_not_post_hoc_optimization	not_used_for_primary_results
OAT05	one_at_a_time	block_q_threshold=0.05 (default 0.10)	0.922	0.924	0.93	0.027	0.312	True	False	0.91	9	True	True	2.707	primary-compatible	robustness_to_reasonable_parameter_settings_not_post_hoc_optimization	locked_default_retained
OAT06	one_at_a_time	block_q_threshold=0.10 (default 0.10)	0.948	0.922	0.913	0.036	0.281	True	False	0.91	9	True	True	2.711	keep_primary	robustness_to_reasonable_parameter_settings_not_post_hoc_optimization	locked_default_retained
OAT07	one_at_a_time	block_q_threshold=0.15 (default 0.10)	0.959	0.918	0.901	0.045	0.268	True	False	0.91	9	True	True	2.682	primary-compatible	robustness_to_reasonable_parameter_settings_not_post_hoc_optimization	locked_default_retained
OAT08	one_at_a_time	direction_stability_threshold=0.70 (default 0.80)	0.964	0.916	0.895	0.05	0.258	True	False	0.91	9	True	True	2.663	primary-compatible	robustness_to_reasonable_parameter_settings_not_post_hoc_optimization	locked_default_retained
OAT09	one_at_a_time	direction_stability_threshold=0.80 (default 0.80)	0.948	0.922	0.913	0.036	0.281	True	False	0.91	9	True	True	2.711	keep_primary	robustness_to_reasonable_parameter_settings_not_post_hoc_optimization	locked_default_retained
OAT10	one_at_a_time	direction_stability_threshold=0.90 (default 0.80)	0.918	0.926	0.934	0.028	0.322	True	False	0.91	9	True	True	2.701	primary-compatible	robustness_to_reasonable_parameter_settings_not_post_hoc_optimization	locked_default_retained
OAT11	one_at_a_time	negative_control_margin=>0 (default >0)	0.948	0.922	0.913	0.036	0.281	True	False	0.91	9	True	True	2.711	keep_primary	robustness_to_reasonable_parameter_settings_not_post_hoc_optimization	locked_default_retained
OAT12	one_at_a_time	negative_control_margin=>0.05 (default >0)	0.93	0.927	0.941	0.024	0.316	True	False	0.91	9	True	True	2.732	primary-compatible	robustness_to_reasonable_parameter_settings_not_post_hoc_optimization	locked_default_retained
OAT13	one_at_a_time	negative_control_margin=>0.10 (default >0)	0.899	0.929	0.963	0.017	0.343	True	False	0.91	7	True	True	2.726	too-conservative	robustness_to_reasonable_parameter_settings_not_post_hoc_optimization	not_used_for_primary_results
OAT14	one_at_a_time	artifact_attenuation_threshold=0.30 (default 0.50)	0.916	0.928	0.954	0.021	0.336	True	False	0.91	9	True	True	2.729	primary-compatible	robustness_to_reasonable_parameter_settings_not_post_hoc_optimization	locked_default_retained
OAT15	one_at_a_time	artifact_attenuation_threshold=0.50 (default 0.50)	0.948	0.922	0.913	0.036	0.281	True	False	0.91	9	True	True	2.711	keep_primary	robustness_to_reasonable_parameter_settings_not_post_hoc_optimization	locked_default_retained
OAT16	one_at_a_time	artifact_attenuation_threshold=0.70 (default 0.50)	0.966	0.91	0.869	0.06	0.246	True	False	0.885	11	False	True	2.607	too-permissive	robustness_to_reasonable_parameter_settings_not_post_hoc_optimization	not_used_for_primary_results
