protein_name	target_gene	n_cells	mean_score	control_mean_score	effect_size_vs_control	p_value	q_value	direction	block_support	direction_stability
CD117	A2M	1331	-0.01799572627529399	-0.00027018994312392303	-0.017725536332170066	0.42164719166603826	0.8769844697646912	down	0.6666666666666666	0.6666666666666666
CD117	ACSL3	596	0.009094789786901598	-0.00027018994312392303	0.009364979730025522	0.7550206204511518	0.9492263118191688	up	0.6666666666666666	0.6666666666666666
CD117	ACTA2	1458	-0.00839035162503303	-0.00027018994312392303	-0.008120161681909106	0.6829275656597632	0.9133299496897999	down	0.6666666666666666	0.6666666666666666
CD117	AEBP1	1302	0.022186674548856297	-0.00027018994312392303	0.02245686449198022	0.2955051567766556	0.8560854911262495	up	0.6666666666666666	0.6666666666666666
CD117	AGA	1116	-0.014203688683033585	-0.00027018994312392303	-0.013933498739909662	0.5573208603038529	0.8769844697646912	down	0.3333333333333333	0.3333333333333333
CD117	AHCY	88	0.013291031680731829	-0.00027018994312392303	0.013561221623855752	0.8828927184599047	0.9773827607551824	up	0.3333333333333333	0.3333333333333333
CD117	AHNAK	1058	0.039781827674586205	-0.00027018994312392303	0.04005201761771013	0.11704464988678123	0.7734262529922027	up	0.6666666666666666	0.6666666666666666
CD117	APOC2	1137	-0.017487080604104473	-0.00027018994312392303	-0.01721689066098055	0.43750154890250426	0.8769844697646912	down	0.6666666666666666	0.6666666666666666
CD117	APOD	1113	-0.02337830087519144	-0.00027018994312392303	-0.023108110932067518	0.3197949218574371	0.8729948267893232	down	0.6666666666666666	0.6666666666666666
CD117	APOE	1127	-0.0003659251755177044	-0.00027018994312392303	-9.573523239378136e-05	0.9966267519300274	1.0	down	0.3333333333333333	0.3333333333333333
CD117	ARMC6	907	-0.025118440836041454	-0.00027018994312392303	-0.02484825089291753	0.29795957637107595	0.8560854911262495	down	0.6666666666666666	0.6666666666666666
CD117	ATP1A1	47	-0.14515645173374342	-0.00027018994312392303	-0.1448862617906195	0.2079340824910542	0.8250287789161181	down	1.0	1.0
CD117	ATP1B1	1122	0.005280934282867652	-0.00027018994312392303	0.0055511242259915754	0.8067173910635134	0.9680608692762162	up	0.3333333333333333	0.3333333333333333
CD117	ATP5MD	610	0.025014379364461443	-0.00027018994312392303	0.025284569307585367	0.3940546635494131	0.8769844697646912	up	0.6666666666666666	0.6666666666666666
CD117	B2M	1379	-0.022871155468816524	-0.00027018994312392303	-0.0226009655256926	0.2871057469453232	0.8560854911262495	down	0.6666666666666666	0.6666666666666666
CD117	BOLA2	683	0.026881929302555146	-0.00027018994312392303	0.02715211924567907	0.39664666159696405	0.8769844697646912	up	1.0	1.0
CD117	BOLA2B	678	0.04622368239508024	-0.00027018994312392303	0.046493872338204165	0.13395980177565434	0.7734262529922027	up	1.0	1.0
CD117	BZW2	973	0.002151202511981295	-0.00027018994312392303	0.002421392455105218	0.9209400179703016	0.9832336869086205	up	0.3333333333333333	0.3333333333333333
CD117	C19orf48	1126	-0.04828369965363601	-0.00027018994312392303	-0.04801350971051209	0.02742077044288808	0.4497006352633645	down	0.6666666666666666	0.6666666666666666
CD117	C1QBP	673	0.011765797117158071	-0.00027018994312392303	0.012035987060281994	0.6834168258742979	0.9133299496897999	up	0.3333333333333333	0.3333333333333333
