axis	protein_name	level	n_units	spearman	spearman_p	direction_match_fraction	alignment_pass
immune_evasion_antigen_presentation	HLA_A	guide	741	0.5650246315588918	1.0056137628115996e-63	0.6963562753036437	True
immune_evasion_antigen_presentation	CD274	guide	741	0.47653544287109345	2.8305190345239805e-43	0.6572199730094467	True
immune_evasion_antigen_presentation	CD58	guide	741	-0.19538039190472167	8.26322129626944e-08	0.43724696356275305	False
ifn_jak_stat_response	CD119	guide	741	0.06793883268560529	0.06454475396285096	0.524966261808367	False
ifn_jak_stat_response	CD274	guide	741	0.4371902769122234	6.088152642380232e-36	0.6383265856950068	True
ifn_jak_stat_response	HLA_A	guide	741	0.19554260656544672	8.058062736773889e-08	0.5506072874493927	False
t_cell_interaction_or_cytokine_response	CD274	guide	741	0.440665622790747	1.4951554478567743e-36	0.6329284750337382	True
t_cell_interaction_or_cytokine_response	CD58	guide	741	0.07410281283171055	0.04374315651808845	0.5425101214574899	False
t_cell_interaction_or_cytokine_response	CD47	guide	741	0.3299906003977504	2.774831771908966e-20	0.6261808367071525	True
t_cell_interaction_or_cytokine_response	CD59	guide	741	0.19692081181654175	6.502651588125192e-08	0.5748987854251012	False
